"mat","dest","mean","sd"
"LDPE","Soil",15.8153284445575,8.01950649726258
"LDPE","Soil (MP)",12.669828890432,6.03458114052787
"LDPE","Fresh water",0.856141284832251,0.742765250952688
"LDPE","Fresh water (MP)",0.0203320625038292,0.0182567621338371
"LDPE","Subsurface soil (MP)",0.0763232246593402,0.0691141516867512
"LDPE","Coastal and ocean water",0.280669763752208,0.123492420442986
"LDPE","Coastal and ocean water (MP)",0.0471436083595866,0.0190433054438312
"HDPE","Soil",37.6738179756278,21.0866893516045
"HDPE","Soil (MP)",1.929413727483,0.794816499323395
"HDPE","Fresh water",1.06668355690162,0.79726248036958
"HDPE","Fresh water (MP)",0.067008709297748,0.0539490302040846
"HDPE","Subsurface soil (MP)",0.264601102179068,0.196322358087305
"HDPE","Coastal and ocean water",0.299886999808533,0.133504903995137
"HDPE","Coastal and ocean water (MP)",0.0804261649787711,0.0451062628286692
"PP","Soil",43.2088072290193,18.3161941891759
"PP","Soil (MP)",8.30909853428932,3.44120365442582
"PP","Fresh water",1.22482232793136,0.88139817566603
"PP","Fresh water (MP)",0.223232041672128,0.200611607768291
"PP","Subsurface soil (MP)",1.35017533066913,0.878470456014938
"PP","Coastal and ocean water",0.194090878387217,0.114834306081514
"PP","Coastal and ocean water (MP)",0.305687994217627,0.22697738608325
"PS","Soil",3.82296173004194,2.05818379533161
"PS","Soil (MP)",0.380262857216616,0.17473378306768
"PS","Fresh water",0.249802382853646,0.204776322571078
"PS","Fresh water (MP)",0.00897218391326955,0.00808570248043626
"PS","Subsurface soil (MP)",0.0364163925442106,0.0318030181756744
"PS","Coastal and ocean water",0.035204881357775,0.0247088549878789
"PS","Coastal and ocean water (MP)",0.0252148591231978,0.0255433402749202
"EPS","Soil",21.5225868926008,19.729513065128
"EPS","Soil (MP)",0.311404927779358,0.140191074594187
"EPS","Fresh water",0.0739843264069875,0.066353661929217
"EPS","Fresh water (MP)",0.00190763585564167,0.000891717762917998
"EPS","Subsurface soil (MP)",0.000594488003180933,0.000661080737444367
"EPS","Coastal and ocean water",0.285868945097412,0.268214423648282
"EPS","Coastal and ocean water (MP)",0.0667341505467448,0.0455576188517607
"PVC","Soil",42.2861767489059,37.6367191174561
"PVC","Soil (MP)",3.50113454425268,1.29166556185148
"PVC","Fresh water",0.0768128432583928,0.0699456658119308
"PVC","Fresh water (MP)",0.358534987764572,0.204334519078773
"PVC","Subsurface soil (MP)",0.352733303819427,0.266267714819418
"PVC","Coastal and ocean water",0.0153314278470614,0.0107221082401087
"PVC","Coastal and ocean water (MP)",0.341766822380929,0.256688550525243
"PET","Soil",51.4708147639927,30.4100151486259
"PET","Soil (MP)",9.2801671120114,3.51126858194172
"PET","Fresh water",2.00944196317726,1.8131253676403
"PET","Fresh water (MP)",0.301120414698856,0.254841007128453
"PET","Subsurface soil (MP)",1.65178540105433,0.947363403747441
"PET","Coastal and ocean water",0.316494507498596,0.257380415332086
"PET","Coastal and ocean water (MP)",0.827455616580581,0.809965858523631
