"mat","dest","mean","sd"
"LDPE","Soil",18.7179107918207,9.94212322500138
"LDPE","Soil (MP)",15.7972833069816,7.29147230045117
"LDPE","Fresh water",0.478789681231045,0.399840492172631
"LDPE","Fresh water (MP)",0.0586912742398471,0.0497189995631738
"LDPE","Subsurface soil (MP)",0.136448846837253,0.141088721616978
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",41.2805311478082,27.22996128245
"HDPE","Soil (MP)",7.53936154555127,2.46575250892277
"HDPE","Fresh water",0.635793141938718,0.418544904378031
"HDPE","Fresh water (MP)",0.288295870531378,0.169085902863444
"HDPE","Subsurface soil (MP)",0.445077686148328,0.368043332949681
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",44.5919773215789,20.5461301802503
"PP","Soil (MP)",13.1649201834672,4.63250133450546
"PP","Fresh water",0.705205530820972,0.44021526126352
"PP","Fresh water (MP)",0.631710228208351,0.573899668041616
"PP","Subsurface soil (MP)",2.18163240593479,1.6605310649573
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",3.47540232835044,2.06472519480064
"PS","Soil (MP)",0.50450689883236,0.22983237561356
"PS","Fresh water",0.132777059166244,0.103624504884658
"PS","Fresh water (MP)",0.0218932603439779,0.0224667117833367
"PS","Subsurface soil (MP)",0.0638101232630639,0.0658178082222322
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",29.9576271927786,27.0169614564308
"EPS","Soil (MP)",0.46407075521499,0.187640864679762
"EPS","Fresh water",0.061216346724498,0.0414651495241252
"EPS","Fresh water (MP)",0.00689398256457802,0.00448799228570219
"EPS","Subsurface soil (MP)",0.000719895091010147,0.000781602365977667
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",55.5122545511647,51.0129720614655
"PVC","Soil (MP)",4.42365905063871,1.68204507874966
"PVC","Fresh water",0.0386326885044592,0.0341601614536492
"PVC","Fresh water (MP)",0.297563586513505,0.210128822604124
"PVC","Subsurface soil (MP)",0.574289129722944,0.500449424005127
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",53.2765716145913,33.8540660063842
"PET","Soil (MP)",8.86576138685334,3.8078102766446
"PET","Fresh water",1.13285955733018,0.916097028408808
"PET","Fresh water (MP)",0.554257407955349,0.462871486677588
"PET","Subsurface soil (MP)",2.0011929146727,1.14620737741457
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
