"mat","dest","mean","sd"
"LDPE","Soil",27.0996685378411,4.68434818167723
"LDPE","Soil (MP)",22.8967430519068,3.19287963584031
"LDPE","Fresh water",0.551830058347229,0.147515609519436
"LDPE","Fresh water (MP)",0.107211757432082,0.0248711026834828
"LDPE","Subsurface soil (MP)",0.300787476589966,0.0782308865597693
"LDPE","Coastal and ocean water",1.9686312888074,0.403763392577975
"LDPE","Coastal and ocean water (MP)",0.329423002214901,0.0383706085607674
"HDPE","Soil",52.587280846562,11.6675922326923
"HDPE","Soil (MP)",4.42077959969615,0.406338990890056
"HDPE","Fresh water",0.693486917148645,0.15770619991134
"HDPE","Fresh water (MP)",0.250305259863857,0.0630824999378301
"HDPE","Subsurface soil (MP)",0.885045220704013,0.210819953865803
"HDPE","Coastal and ocean water",2.04451987659154,0.406443042335048
"HDPE","Coastal and ocean water (MP)",0.443181727283368,0.0698794978894831
"PP","Soil",59.2810717838578,9.32472093651282
"PP","Soil (MP)",14.4686932344546,1.5466313598246
"PP","Fresh water",0.793714552209716,0.178894358721022
"PP","Fresh water (MP)",0.883989646390631,0.275402754250951
"PP","Subsurface soil (MP)",4.02310230244575,0.902004409236414
"PP","Coastal and ocean water",0.727589084291454,0.156868550456353
"PP","Coastal and ocean water (MP)",0.893752159161809,0.270640962052067
"PS","Soil",6.20911502044117,1.22200994566278
"PS","Soil (MP)",1.09252442550247,0.114773705282221
"PS","Fresh water",0.160102085472984,0.0406742224896911
"PS","Fresh water (MP)",0.0476735147525057,0.0115398681155461
"PS","Subsurface soil (MP)",0.138458107442091,0.0361257892113394
"PS","Coastal and ocean water",0.0942886281839316,0.0397263171148837
"PS","Coastal and ocean water (MP)",0.0405617027618734,0.0121638749188002
"EPS","Soil",38.1170148390423,11.3959041430859
"EPS","Soil (MP)",0.897373858730319,0.0952470992338183
"EPS","Fresh water",0.0883948470744453,0.0181646927278179
"EPS","Fresh water (MP)",0.0237772480314314,0.00370482715112393
"EPS","Subsurface soil (MP)",0.000802785186188256,0.000278059048201234
"EPS","Coastal and ocean water",0.18476655264496,0.0674447811881948
"EPS","Coastal and ocean water (MP)",0.036724060329015,0.00970682026030922
"PVC","Soil",73.102227094722,21.221724250556
"PVC","Soil (MP)",6.3833736611476,0.612768663954435
"PVC","Fresh water",0.0522242648686985,0.0152076214427487
"PVC","Fresh water (MP)",0.519515768697014,0.102366932383884
"PVC","Subsurface soil (MP)",1.12297358968464,0.275822089368808
"PVC","Coastal and ocean water",0.0283576016839311,0.0121501469118812
"PVC","Coastal and ocean water (MP)",0.443169760240562,0.105390904968872
"PET","Soil",71.8770274095823,15.4202847007098
"PET","Soil (MP)",8.35828138643663,2.74793456665607
"PET","Fresh water",1.30282775345463,0.375760533739047
"PET","Fresh water (MP)",0.613390523198372,0.178870136112192
"PET","Subsurface soil (MP)",2.29848652932268,0.473037946893596
"PET","Coastal and ocean water",0.703255001842118,0.300600519352676
"PET","Coastal and ocean water (MP)",0.698090319965746,0.306148032527861
