"mat","dest","mean","sd"
"LDPE","Soil",8.41116744603833,3.61153091373146
"LDPE","Soil (MP)",28.3978990214536,9.82144255046505
"LDPE","Fresh water",0.330223496718723,0.27226819076578
"LDPE","Fresh water (MP)",0.42230192223304,0.178874341037567
"LDPE","Subsurface soil (MP)",0.282736306941689,0.225142098998052
"LDPE","Coastal and ocean water",2.59947152396645,1.40066750278786
"LDPE","Coastal and ocean water (MP)",0.40875589966242,0.113230544201354
"HDPE","Soil",17.3457652719892,9.05650224227917
"HDPE","Soil (MP)",7.28815418402145,2.10103390503572
"HDPE","Fresh water",0.534517501152716,0.343756811586826
"HDPE","Fresh water (MP)",0.475790456874692,0.217169565055517
"HDPE","Subsurface soil (MP)",0.806310628915629,0.592851245248986
"HDPE","Coastal and ocean water",2.59177112545783,1.3934448604542
"HDPE","Coastal and ocean water (MP)",0.418751970205301,0.114077484779843
"PP","Soil",23.673169020857,10.2769604048891
"PP","Soil (MP)",26.1045804375176,8.32365811348433
"PP","Fresh water",0.673092142014706,0.478510594763241
"PP","Fresh water (MP)",1.63980890569867,0.919347499085545
"PP","Subsurface soil (MP)",3.61587581876521,2.5002240216511
"PP","Coastal and ocean water",0.483766617555819,0.115466319583243
"PP","Coastal and ocean water (MP)",0.251705642440905,0.0828287541719878
"PS","Soil",1.94731793467378,1.14926378447461
"PS","Soil (MP)",1.09825863558632,0.377240326016775
"PS","Fresh water",0.104048079668982,0.087505707368104
"PS","Fresh water (MP)",0.0789168272649935,0.046732826495803
"PS","Subsurface soil (MP)",0.129199382711331,0.103240459215948
"PS","Coastal and ocean water",0.00805176977731805,0.00609769484387256
"PS","Coastal and ocean water (MP)",0.00511314448614922,0.00526335697235883
"EPS","Soil",7.46913444606576,6.81676607453685
"EPS","Soil (MP)",3.01236009904825,1.08762035237276
"EPS","Fresh water",0.0836248445613122,0.0612834927257996
"EPS","Fresh water (MP)",0.135448869466356,0.060990517195517
"EPS","Subsurface soil (MP)",0.000591587283145498,0.000682365181992699
"EPS","Coastal and ocean water",0.00903991211516096,0.00734199940592877
"EPS","Coastal and ocean water (MP)",0.00951352293340647,0.00826077721477749
"PVC","Soil",15.3168797093467,13.022742985753
"PVC","Soil (MP)",8.34534709196186,2.73705374327072
"PVC","Fresh water",0.042490237768732,0.0419372516396917
"PVC","Fresh water (MP)",1.12564305862766,0.52573888143639
"PVC","Subsurface soil (MP)",1.03005409640352,0.797201477185984
"PVC","Coastal and ocean water",0.00371116035092555,0.00311675026742723
"PVC","Coastal and ocean water (MP)",0.0595043887920496,0.0521898259028149
"PET","Soil",31.7730603722497,19.906082774622
"PET","Soil (MP)",11.4089924973252,4.41528030376087
"PET","Fresh water",1.2077368163718,1.03977993382646
"PET","Fresh water (MP)",1.33243625738268,0.981147623485228
"PET","Subsurface soil (MP)",1.7510067651733,1.14286411712483
"PET","Coastal and ocean water",0.0866413492084874,0.0752902107167377
"PET","Coastal and ocean water (MP)",0.116178719905016,0.13090178417696
