"mat","dest","mean","sd"
"LDPE","Soil",12.5588712289641,6.50666725627134
"LDPE","Soil (MP)",10.3949559351285,5.02387332679362
"LDPE","Fresh water",0.24540377593895,0.220176002935816
"LDPE","Fresh water (MP)",0.0288012781549613,0.0339727806820619
"LDPE","Subsurface soil (MP)",0.0469607160215049,0.0409674052618488
"LDPE","Coastal and ocean water",2.37403870656351,1.19915735229322
"LDPE","Coastal and ocean water (MP)",0.364780221816043,0.0962919786828701
"HDPE","Soil",26.2439794524974,16.698510881802
"HDPE","Soil (MP)",0.990904631932357,0.378944291514581
"HDPE","Fresh water",0.402455248856228,0.270294628700204
"HDPE","Fresh water (MP)",0.0920857146439245,0.104814362942489
"HDPE","Subsurface soil (MP)",0.165793472006599,0.123611942794311
"HDPE","Coastal and ocean water",2.39722249251614,1.20668278757872
"HDPE","Coastal and ocean water (MP)",0.404942484515883,0.105146519068952
"PP","Soil",29.6575318751614,13.5214594971244
"PP","Soil (MP)",4.37864486655673,1.77459115868312
"PP","Fresh water",0.457943317305738,0.306803522840994
"PP","Fresh water (MP)",0.375607525375522,0.444975975579384
"PP","Subsurface soil (MP)",0.875231473100217,0.566516147676782
"PP","Coastal and ocean water",0.620140278931955,0.233919924549963
"PP","Coastal and ocean water (MP)",0.467819736768418,0.244009140047283
"PS","Soil",2.76307784231489,1.5341435387932
"PS","Soil (MP)",0.223616670774884,0.106478373014121
"PS","Fresh water",0.0674016015430034,0.0584716112905202
"PS","Fresh water (MP)",0.0133607477338251,0.0160669706178726
"PS","Subsurface soil (MP)",0.0222159873805474,0.0195203236524912
"PS","Coastal and ocean water",0.0528627075052132,0.0488385288276506
"PS","Coastal and ocean water (MP)",0.0273973656923382,0.0269020195119326
"EPS","Soil",17.7635376307477,16.3714784818591
"EPS","Soil (MP)",0.237675647216383,0.112473641829286
"EPS","Fresh water",0.0256649426954368,0.020683269106925
"EPS","Fresh water (MP)",0.00229945799760265,0.00138647207658568
"EPS","Subsurface soil (MP)",0.000363025506656109,0.000420633379629707
"EPS","Coastal and ocean water",0.321960836015594,0.295188861042962
"EPS","Coastal and ocean water (MP)",0.0736848101018122,0.0477780099611346
"PVC","Soil",34.2577898701042,30.6171795878155
"PVC","Soil (MP)",2.05980889462898,0.711849600497185
"PVC","Fresh water",0.0206198858817978,0.0196389521155196
"PVC","Fresh water (MP)",0.194955679180257,0.161743456275607
"PVC","Subsurface soil (MP)",0.217281216830961,0.167198560012161
"PVC","Coastal and ocean water",0.0191759066415006,0.0174475478370803
"PVC","Coastal and ocean water (MP)",0.418855902573527,0.274943952262593
"PET","Soil",36.6595766554129,23.3812167150818
"PET","Soil (MP)",4.50029041405935,1.86761140398463
"PET","Fresh water",0.661521585275518,0.536151241932727
"PET","Fresh water (MP)",0.527157611777704,0.567872948871882
"PET","Subsurface soil (MP)",1.04056132944971,0.655563491356996
"PET","Coastal and ocean water",0.457120894714101,0.452913191115236
"PET","Coastal and ocean water (MP)",0.916665841382424,0.899334746832496
