"mat","dest","mean","sd"
"LDPE","Soil",36.1295741038653,18.8874557233905
"LDPE","Soil (MP)",32.1533505730664,14.4302174243062
"LDPE","Fresh water",1.40971397619701,1.1748653236801
"LDPE","Fresh water (MP)",0.169363723848462,0.12125887811209
"LDPE","Subsurface soil (MP)",0.404424536828331,0.322048415776196
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",78.7601325242602,49.6922930638131
"HDPE","Soil (MP)",11.7129025536474,3.48622020202862
"HDPE","Fresh water",1.6639789295582,1.22647020559393
"HDPE","Fresh water (MP)",0.478446630043211,0.326963007077501
"HDPE","Subsurface soil (MP)",1.2272818595032,0.856395534615474
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",86.4431563093259,39.5587281380926
"PP","Soil (MP)",34.1742855109405,12.4673491358111
"PP","Fresh water",1.89348315762619,1.36857393022177
"PP","Fresh water (MP)",1.49792525059798,1.36291533617356
"PP","Subsurface soil (MP)",5.62809328205178,3.73681796102131
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",8.16787149463102,4.62090571586587
"PS","Soil (MP)",2.09260894318664,0.651884971294963
"PS","Fresh water",0.414351348521895,0.330643555731764
"PS","Fresh water (MP)",0.0817195620071976,0.0555955735784708
"PS","Subsurface soil (MP)",0.191643246995404,0.151664368274459
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",52.9797955078429,48.8884118543863
"EPS","Soil (MP)",1.34687515777454,0.397349450353545
"EPS","Fresh water",0.203457994426961,0.133211891429951
"EPS","Fresh water (MP)",0.0409180495063256,0.0197715403839557
"EPS","Subsurface soil (MP)",0.00144726159202768,0.00159452243294629
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",100.000012093234,89.3620740638601
"PVC","Soil (MP)",16.4599574499654,4.70159842001962
"PVC","Fresh water",0.127088158425952,0.110317391250726
"PVC","Fresh water (MP)",1.02472252444605,0.528966617676012
"PVC","Subsurface soil (MP)",1.58770192727483,1.13569766665997
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",105.65082206466,68.5490961662091
"PET","Soil (MP)",22.3491922534653,8.92689971723943
"PET","Fresh water",3.18522865884295,2.81183842683367
"PET","Fresh water (MP)",1.13921739469718,0.891546997942457
"PET","Subsurface soil (MP)",4.00654106305213,2.30151681495037
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
