"mat","dest","mean","sd"
"LDPE","Soil",14.073415450935,6.51721040792053
"LDPE","Soil (MP)",19.712237998185,9.16458268196026
"LDPE","Fresh water",0.406304184403626,0.332235950100696
"LDPE","Fresh water (MP)",0.0863374279073948,0.0680151662569864
"LDPE","Subsurface soil (MP)",0.282992820976203,0.194891281350526
"LDPE","Coastal and ocean water",3.92128472978205,2.1202755190746
"LDPE","Coastal and ocean water (MP)",0.606558655923809,0.166183923954469
"HDPE","Soil",27.825937586199,15.6911190344982
"HDPE","Soil (MP)",3.43838612909555,1.07947062309443
"HDPE","Fresh water",0.575532895571363,0.380082594644715
"HDPE","Fresh water (MP)",0.239269845662117,0.190884158199613
"HDPE","Subsurface soil (MP)",0.832389773891917,0.532066020359125
"HDPE","Coastal and ocean water",3.88271680882054,2.10523853641708
"HDPE","Coastal and ocean water (MP)",0.605042661505488,0.166037499937985
"PP","Soil",35.1060337689153,15.4020078513201
"PP","Soil (MP)",13.6443904353552,4.56678311847637
"PP","Fresh water",0.683057522291502,0.466763042664605
"PP","Fresh water (MP)",0.871872531618214,0.756361380507407
"PP","Subsurface soil (MP)",3.76697944613885,2.26826377326677
"PP","Coastal and ocean water",0.683324804576673,0.162634799881816
"PP","Coastal and ocean water (MP)",0.285449042824899,0.0744651185705043
"PS","Soil",3.38609594054895,1.92819658954422
"PS","Soil (MP)",0.720230731857444,0.259537510624441
"PS","Fresh water",0.120474111210086,0.0962106859518394
"PS","Fresh water (MP)",0.0389819745877501,0.0312055942140466
"PS","Subsurface soil (MP)",0.12934081238992,0.088748679980589
"PS","Coastal and ocean water",0.00295595700691689,0.00215278836189251
"PS","Coastal and ocean water (MP)",0.00151207319921538,0.00182424201338232
"EPS","Soil",16.0544092949103,14.6891010192461
"EPS","Soil (MP)",0.557048583959916,0.225877925579032
"EPS","Fresh water",0.0583190934564685,0.0384745041875011
"EPS","Fresh water (MP)",0.01776911695371,0.0130059732493799
"EPS","Subsurface soil (MP)",0.000955179507422092,0.00105573481839683
"EPS","Coastal and ocean water",0.00608608662730919,0.00530223279521212
"EPS","Coastal and ocean water (MP)",0.00331093218242866,0.00297984232405921
"PVC","Soil",31.1792947775961,27.1320542327689
"PVC","Soil (MP)",6.05498759666002,1.80066193303559
"PVC","Fresh water",0.0448331936343895,0.0417509983088242
"PVC","Fresh water (MP)",0.568343842727177,0.313258516993764
"PVC","Subsurface soil (MP)",1.08752138811154,0.705784180887993
"PVC","Coastal and ocean water",0.00134738096474705,0.00103713855950729
"PVC","Coastal and ocean water (MP)",0.0188289941201944,0.0170056528060325
"PET","Soil",44.8592324217401,30.2418996420743
"PET","Soil (MP)",45.9471177239926,14.3566993030732
"PET","Fresh water",1.17530883058556,1.03063232879583
"PET","Fresh water (MP)",1.78667210236094,0.908237030481269
"PET","Subsurface soil (MP)",3.30345956616449,1.82554447423842
"PET","Coastal and ocean water",0.0291646528125051,0.0276763839385001
"PET","Coastal and ocean water (MP)",0.0407164040574394,0.045657359518058
