"mat","dest","mean","sd"
"LDPE","Soil",21.9282906082093,10.8291430753068
"LDPE","Soil (MP)",25.0656926090591,11.6513452156689
"LDPE","Fresh water",0.286784619026166,0.221107187668519
"LDPE","Fresh water (MP)",0.0435797186325447,0.0418495516210437
"LDPE","Subsurface soil (MP)",0.0768970452541214,0.0771611768283743
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",42.9024912784481,28.1781823359773
"HDPE","Soil (MP)",2.95273447668192,1.04687411815746
"HDPE","Fresh water",0.476953683940378,0.293444734201174
"HDPE","Fresh water (MP)",0.15508429936158,0.13334030211793
"HDPE","Subsurface soil (MP)",0.323048009212422,0.239622341133005
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",50.0915681036888,23.2374617332657
"PP","Soil (MP)",10.53083590854,4.0822870611761
"PP","Fresh water",0.52955534829306,0.31506051270351
"PP","Fresh water (MP)",0.515246225854916,0.531633499111458
"PP","Subsurface soil (MP)",1.69648714840935,1.12890041957261
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",4.07992765972992,2.4754598637121
"PS","Soil (MP)",0.697300846664704,0.305252863554281
"PS","Fresh water",0.079660187768647,0.0596177067010118
"PS","Fresh water (MP)",0.0188030687443307,0.0199667521162033
"PS","Subsurface soil (MP)",0.0369874887115658,0.0367492825602996
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",31.0666079549042,28.3300315250351
"EPS","Soil (MP)",0.753046661674358,0.295550638261873
"EPS","Fresh water",0.0218556432622763,0.0195165430622805
"EPS","Fresh water (MP)",0.00226076729122005,0.00123730534526882
"EPS","Subsurface soil (MP)",0.000836213850943813,0.000955277272484341
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",57.9401926512856,51.563719125642
"PVC","Soil (MP)",5.26980560467082,1.92800811607353
"PVC","Fresh water",0.0253403129089727,0.0223945969141717
"PVC","Fresh water (MP)",0.24878426430484,0.208715258126711
"PVC","Subsurface soil (MP)",0.393539255156073,0.327145690174295
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",63.1855735276373,42.36839469586
"PET","Soil (MP)",11.3871715754987,5.37613705786467
"PET","Fresh water",0.808505146449108,0.590718892753738
"PET","Fresh water (MP)",0.913693958139567,0.837017350897392
"PET","Subsurface soil (MP)",2.47735137004761,1.56626948056404
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
