"mat","dest","mean","sd"
"LDPE","Soil",10.523896430228,4.40037600319407
"LDPE","Soil (MP)",16.6445083942631,8.0403082864881
"LDPE","Fresh water",0.276231867610825,0.223791622689269
"LDPE","Fresh water (MP)",0.00329682667402361,0.00156704773456921
"LDPE","Subsurface soil (MP)",0.00485731643564074,0.00229926965776758
"LDPE","Coastal and ocean water",0.544263941566964,0.274478959715044
"LDPE","Coastal and ocean water (MP)",0.117922668943972,0.0452515045124778
"HDPE","Soil",15.1207600831683,7.48333708882763
"HDPE","Soil (MP)",1.02161012816286,0.505302254776879
"HDPE","Fresh water",0.491117389825676,0.31511715305531
"HDPE","Fresh water (MP)",0.0333438086897302,0.0156939005338377
"HDPE","Subsurface soil (MP)",0.0913806180945711,0.0513966027157058
"HDPE","Coastal and ocean water",0.557747316576756,0.27125894229536
"HDPE","Coastal and ocean water (MP)",0.228901585197057,0.131992849712129
"PP","Soil",23.9482549480183,10.3283575357272
"PP","Soil (MP)",3.96483016478921,2.25159931593052
"PP","Fresh water",0.636011441873211,0.441546089936611
"PP","Fresh water (MP)",0.0982437161590382,0.0546912650756783
"PP","Subsurface soil (MP)",0.663312871931455,0.440468825638111
"PP","Coastal and ocean water",0.195916164450079,0.0909220826383628
"PP","Coastal and ocean water (MP)",0.933725279528982,0.703027825770954
"PS","Soil",3.6806309291879,1.83646617929878
"PS","Soil (MP)",0.243041197637776,0.155517904178546
"PS","Fresh water",0.0939480370657377,0.0755584682801307
"PS","Fresh water (MP)",0.00195964576582364,0.00101950783424833
"PS","Subsurface soil (MP)",0.00324106159952061,0.00329712026419245
"PS","Coastal and ocean water",0.0205524509967194,0.0144928567409164
"PS","Coastal and ocean water (MP)",0.0748726025212216,0.0737164146987009
"EPS","Soil",5.63704581614144,5.03654155357214
"EPS","Soil (MP)",0.285735936802029,0.167254896927105
"EPS","Fresh water",0.0184060185052067,0.0172638848326905
"EPS","Fresh water (MP)",0.000840354635630286,0.000474155069846836
"EPS","Subsurface soil (MP)",0.000570333052806198,0.000669432306040208
"EPS","Coastal and ocean water",0.203537016601297,0.193215338096819
"EPS","Coastal and ocean water (MP)",0.225703433958101,0.11735396874606
"PVC","Soil",12.9840360998871,9.76320974343011
"PVC","Soil (MP)",1.85164460868692,0.782255001544425
"PVC","Fresh water",0.0432248582418867,0.0400773075298302
"PVC","Fresh water (MP)",0.41614613269367,0.265674776390272
"PVC","Subsurface soil (MP)",0.114613448657376,0.0932278837060377
"PVC","Coastal and ocean water",0.0130427930762431,0.00984792906957696
"PVC","Coastal and ocean water (MP)",1.12735685512948,0.693394863705351
"PET","Soil",34.0489699726014,22.3083678575882
"PET","Soil (MP)",2.31007448505769,1.48966960878642
"PET","Fresh water",1.10026746764845,0.983441393249729
"PET","Fresh water (MP)",0.390064962600631,0.225726516008666
"PET","Subsurface soil (MP)",1.67565298254903,1.09703351557937
"PET","Coastal and ocean water",0.254517438190063,0.231689535516263
"PET","Coastal and ocean water (MP)",3.7590207652496,3.05402347319915
