"mat","dest","mean","sd"
"LDPE","Soil",13.2594450146186,5.46822685467101
"LDPE","Soil (MP)",29.4032034916933,13.6957133771208
"LDPE","Fresh water",0.0678280750086777,0.0497591502675308
"LDPE","Fresh water (MP)",0.059932445209724,0.0521009804105707
"LDPE","Subsurface soil (MP)",0.476722874233589,0.372538070549181
"LDPE","Coastal and ocean water",60.0218504435004,32.5190208574276
"LDPE","Coastal and ocean water (MP)",9.81874250938184,2.62919215740426
"HDPE","Soil",22.5821736034733,11.4391654716317
"HDPE","Soil (MP)",5.94732722706049,2.08928549668715
"HDPE","Fresh water",0.0847693799802375,0.0631732410300451
"HDPE","Fresh water (MP)",0.159157681075928,0.136963761069617
"HDPE","Subsurface soil (MP)",1.33636781600793,0.988062973898908
"HDPE","Coastal and ocean water",60.1191368340066,32.514938424304
"HDPE","Coastal and ocean water (MP)",10.6240788974482,2.98274133288812
"PP","Soil",32.58576818746,13.5846735091739
"PP","Soil (MP)",23.5694888360716,8.62108538502509
"PP","Fresh water",0.106944321169482,0.0847954870434814
"PP","Fresh water (MP)",0.66249480240251,0.569841249151236
"PP","Subsurface soil (MP)",5.77766455166067,4.00677903818801
"PP","Coastal and ocean water",11.0764539537172,2.55989305971553
"PP","Coastal and ocean water (MP)",9.88514980478374,6.34080561876586
"PS","Soil",3.41231992516983,1.87057210093476
"PS","Soil (MP)",1.11375989756972,0.430694435783571
"PS","Fresh water",0.0173902795078095,0.0156570404846953
"PS","Fresh water (MP)",0.0336987701046628,0.0265614846168311
"PS","Subsurface soil (MP)",0.207492317703462,0.163369234202709
"PS","Coastal and ocean water",0.133375345411287,0.105583947673112
"PS","Coastal and ocean water (MP)",0.269460420249231,0.259407571150654
"EPS","Soil",10.3558513401852,9.4449053232428
"EPS","Soil (MP)",0.667749783801888,0.31116967069925
"EPS","Fresh water",0.0266048749208649,0.0222107110896013
"EPS","Fresh water (MP)",0.031013172076801,0.0239126666925284
"EPS","Subsurface soil (MP)",0.000968061369550665,0.00113146354495725
"EPS","Coastal and ocean water",0.156388024279011,0.125227129024369
"EPS","Coastal and ocean water (MP)",0.16768811209692,0.113840934659623
"PVC","Soil",21.2877624527916,17.5189694220689
"PVC","Soil (MP)",9.17422170367261,2.9982487102891
"PVC","Fresh water",0.0076516090194328,0.00794268997436589
"PVC","Fresh water (MP)",0.381472448516531,0.237246465952492
"PVC","Subsurface soil (MP)",1.65179748608382,1.25819559371959
"PVC","Coastal and ocean water",0.059068944169185,0.0533475274831021
"PVC","Coastal and ocean water (MP)",2.91863944713759,2.11540348034034
"PET","Soil",44.0725978248142,28.5301378220691
"PET","Soil (MP)",11.6313396448955,5.13624397505023
"PET","Fresh water",0.198949785848034,0.198332456259972
"PET","Fresh water (MP)",0.577461442814636,0.506677780026207
"PET","Subsurface soil (MP)",2.85123625693068,1.85140856473329
"PET","Coastal and ocean water",1.53974411827856,1.34594087821602
"PET","Coastal and ocean water (MP)",4.12872559072908,3.47287391027385
