"mat","dest","mean","sd"
"LDPE","Soil",34.3139187952128,18.9754144253625
"LDPE","Soil (MP)",18.7542748837167,8.85217615565014
"LDPE","Fresh water",0.477388557544905,0.379875809936766
"LDPE","Fresh water (MP)",0.0600616902313229,0.0456509850007411
"LDPE","Subsurface soil (MP)",0.131207278386911,0.139506677549176
"LDPE","Coastal and ocean water",0.620616680252756,0.317232230481022
"LDPE","Coastal and ocean water (MP)",0.0940481088986814,0.0257173910430415
"HDPE","Soil",74.2619295035203,55.3185399208836
"HDPE","Soil (MP)",2.23439816068233,0.76868266797378
"HDPE","Fresh water",0.655620845932985,0.416260159975766
"HDPE","Fresh water (MP)",0.158672162531688,0.125752815511738
"HDPE","Subsurface soil (MP)",0.41904671548509,0.372889325048306
"HDPE","Coastal and ocean water",0.629364303848919,0.326654393479974
"HDPE","Coastal and ocean water (MP)",0.0959829647920986,0.025753496647953
"PP","Soil",71.59079256838,36.5159231719573
"PP","Soil (MP)",8.81620345982094,3.35092868583294
"PP","Fresh water",0.697747188065677,0.40705438292432
"PP","Fresh water (MP)",0.576291034308673,0.515748816745275
"PP","Subsurface soil (MP)",2.05142075004148,1.64127049304823
"PP","Coastal and ocean water",0.139437155714427,0.036314487301548
"PP","Coastal and ocean water (MP)",0.0565488207197902,0.0194935317912481
"PS","Soil",5.93411559551076,3.45815487407513
"PS","Soil (MP)",0.597928155906203,0.215277054510586
"PS","Fresh water",0.130777407893871,0.0988080827215129
"PS","Fresh water (MP)",0.0281694012020844,0.0214211487617883
"PS","Subsurface soil (MP)",0.0607253529768245,0.0661970000471617
"PS","Coastal and ocean water",0.00879510888859302,0.0068791650260601
"PS","Coastal and ocean water (MP)",0.0012855234810222,0.00147634373872951
"EPS","Soil",62.1868883394803,55.7131213241911
"EPS","Soil (MP)",0.787070387068584,0.239197567273209
"EPS","Fresh water",0.121478239783637,0.0859250783456945
"EPS","Fresh water (MP)",0.020946599316091,0.0100568079958712
"EPS","Subsurface soil (MP)",0.000681049424188025,0.000791570999097251
"EPS","Coastal and ocean water",0.0247262882179045,0.0211764471532564
"EPS","Coastal and ocean water (MP)",0.00315658319069116,0.00289729037730333
"PVC","Soil",115.670478715916,105.516617611226
"PVC","Soil (MP)",4.55710638689008,1.48910535014446
"PVC","Fresh water",0.0355291557551817,0.0282191885698827
"PVC","Fresh water (MP)",0.285089597267058,0.172557818954705
"PVC","Subsurface soil (MP)",0.532495400088185,0.490929748961463
"PVC","Coastal and ocean water",0.00274056818281166,0.00202496658808458
"PVC","Coastal and ocean water (MP)",0.0166346462843751,0.0156721593058613
"PET","Soil",80.5752907609797,53.2175949157126
"PET","Soil (MP)",7.3019766248217,3.64345509692707
"PET","Fresh water",1.02690506204055,0.735612451477056
"PET","Fresh water (MP)",0.620152539991277,0.413880961659848
"PET","Subsurface soil (MP)",1.9116443677651,1.19711254959294
"PET","Coastal and ocean water",0.0621467901469449,0.0510645997723484
"PET","Coastal and ocean water (MP)",0.03853666548418,0.0429535169667349
