"mat","dest","mean","sd"
"LDPE","Soil",37.0792788722312,20.0397044835446
"LDPE","Soil (MP)",26.4275636154548,11.8873969026957
"LDPE","Fresh water",1.57335845012179,1.38822420811977
"LDPE","Fresh water (MP)",0.13669072375796,0.0644272498132608
"LDPE","Subsurface soil (MP)",0.360623534348155,0.255528341207866
"LDPE","Coastal and ocean water",2.10033336475976,1.03929469188181
"LDPE","Coastal and ocean water (MP)",0.355428917313945,0.120236024021041
"HDPE","Soil",76.5440651997,55.9690726531982
"HDPE","Soil (MP)",3.72953242291026,1.0227308349152
"HDPE","Fresh water",1.77838817880074,1.39246862899355
"HDPE","Fresh water (MP)",0.298031814096823,0.158522674197801
"HDPE","Subsurface soil (MP)",1.07100215193517,0.703011298582064
"HDPE","Coastal and ocean water",2.12396537920613,1.0408798676302
"HDPE","Coastal and ocean water (MP)",0.463273233607709,0.250410389574357
"PP","Soil",78.3872670693061,37.8953914534038
"PP","Soil (MP)",9.87608900698332,3.92382445539019
"PP","Fresh water",1.88377926387114,1.40771668098661
"PP","Fresh water (MP)",0.965672700347701,0.625182716031829
"PP","Subsurface soil (MP)",4.80439252221593,2.95789459803238
"PP","Coastal and ocean water",0.601826257562094,0.209426373830466
"PP","Coastal and ocean water (MP)",0.887390778550365,0.973991776876087
"PS","Soil",6.61082931369705,3.78752935249991
"PS","Soil (MP)",0.683669289874637,0.260747507633147
"PS","Fresh water",0.427370483100611,0.365332473728526
"PS","Fresh water (MP)",0.04471685826439,0.0262211768219444
"PS","Subsurface soil (MP)",0.166336701882244,0.119361387288738
"PS","Coastal and ocean water",0.0638518751663683,0.0479713553122098
"PS","Coastal and ocean water (MP)",0.041117239031454,0.0448720919019037
"EPS","Soil",61.6007985630755,56.4846886669909
"EPS","Soil (MP)",0.687631154128921,0.289029329858787
"EPS","Fresh water",0.194908380337267,0.141709410913523
"EPS","Fresh water (MP)",0.0131695912674191,0.00887602720169938
"EPS","Subsurface soil (MP)",0.0011460386953249,0.00124898761141241
"EPS","Coastal and ocean water",0.298720265922599,0.268103396313755
"EPS","Coastal and ocean water (MP)",0.0544515326013325,0.042996525648684
"PVC","Soil",118.993989543687,108.10338250809
"PVC","Soil (MP)",7.68275323525269,2.14858984768912
"PVC","Fresh water",0.106415880792167,0.100733249992086
"PVC","Fresh water (MP)",0.802074553042353,0.349153154876104
"PVC","Subsurface soil (MP)",1.36347625740034,0.908732745009205
"PVC","Coastal and ocean water",0.021502268564256,0.0154777260890773
"PVC","Coastal and ocean water (MP)",0.451854943154385,0.415871810753973
"PET","Soil",94.4135955873455,61.4200680781359
"PET","Soil (MP)",6.76768598809372,4.18180578956282
"PET","Fresh water",2.96763868338483,2.61630881911078
"PET","Fresh water (MP)",0.729203413615844,0.434793279288768
"PET","Subsurface soil (MP)",3.17905705415712,1.82732174537822
"PET","Coastal and ocean water",0.494187740382156,0.392584390116846
"PET","Coastal and ocean water (MP)",0.949072144549622,0.963883204042853
