"mat","dest","mean","sd"
"LDPE","Soil",41.6862688625029,21.6996834910565
"LDPE","Soil (MP)",16.0349065612354,7.40331434605366
"LDPE","Fresh water",0.257247580907467,0.189748463998815
"LDPE","Fresh water (MP)",0.0638118170958225,0.0432585571803822
"LDPE","Subsurface soil (MP)",0.295917374385239,0.238996550867394
"LDPE","Coastal and ocean water",0.0408809394043333,0.0185179569405612
"LDPE","Coastal and ocean water (MP)",0.0223709282996317,0.0279618557676565
"HDPE","Soil",77.4828312552124,50.936163765475
"HDPE","Soil (MP)",1.46059729757631,0.563511483027132
"HDPE","Fresh water",0.364199368440795,0.220308545344869
"HDPE","Fresh water (MP)",0.128581779213522,0.111844725607979
"HDPE","Subsurface soil (MP)",0.886189582123654,0.656876026791237
"HDPE","Coastal and ocean water",0.0420609628435416,0.0186981966429421
"HDPE","Coastal and ocean water (MP)",0.0415725589200805,0.0708395262902479
"PP","Soil",88.1605788179817,43.6259710061283
"PP","Soil (MP)",6.55722031221587,2.56050388066854
"PP","Fresh water",0.422963905245129,0.244909990199568
"PP","Fresh water (MP)",0.503046074164529,0.457685848755657
"PP","Subsurface soil (MP)",3.9571307799958,2.77628004587529
"PP","Coastal and ocean water",0.0221926470537108,0.0116051922916331
"PP","Coastal and ocean water (MP)",0.139482065632066,0.280202118215449
"PS","Soil",12.2737316230858,6.30213214722839
"PS","Soil (MP)",0.504469654000671,0.173739790356593
"PS","Fresh water",0.0811625774662987,0.0545146695839474
"PS","Fresh water (MP)",0.0265733028973495,0.0186999380715337
"PS","Subsurface soil (MP)",0.13624553395192,0.108432093144622
"PS","Coastal and ocean water",0.00418137980053853,0.00275048113505181
"PS","Coastal and ocean water (MP)",0.00724064134784681,0.0121714021667407
"EPS","Soil",52.8066173662372,47.4441658691701
"EPS","Soil (MP)",0.533140411332728,0.180175178425557
"EPS","Fresh water",0.102043453296023,0.0785771974913848
"EPS","Fresh water (MP)",0.0144362849512321,0.00887669389571466
"EPS","Subsurface soil (MP)",0.00104905257870677,0.00118107834580802
"EPS","Coastal and ocean water",0.0136643400177894,0.0119991733124634
"EPS","Coastal and ocean water (MP)",0.00281488285989465,0.00192374583414822
"PVC","Soil",104.841126342118,90.5495559970599
"PVC","Soil (MP)",3.33799547917334,1.12913604068032
"PVC","Fresh water",0.031818297960369,0.0194253896266066
"PVC","Fresh water (MP)",0.216115438464775,0.164703772673257
"PVC","Subsurface soil (MP)",1.13426359364846,0.82451361519574
"PVC","Coastal and ocean water",0.0017424769921998,0.00101659032931324
"PVC","Coastal and ocean water (MP)",0.0562357437357473,0.107903342796096
"PET","Soil",103.309757756038,69.3540579282312
"PET","Soil (MP)",4.65646927131324,2.90467175304641
"PET","Fresh water",0.592021332295099,0.42475516870372
"PET","Fresh water (MP)",0.439646092670946,0.345862666792791
"PET","Subsurface soil (MP)",2.81464941456315,1.67830036284703
"PET","Coastal and ocean water",0.0274951360067343,0.021982046283998
"PET","Coastal and ocean water (MP)",0.109727117954986,0.195955853734236
