"mat","dest","mean","sd"
"LDPE","Soil",6.94806919251972,2.85025978246486
"LDPE","Soil (MP)",17.6898441354169,7.25018437012276
"LDPE","Fresh water",0.0367712508577471,0.0275072627851243
"LDPE","Fresh water (MP)",0.0778160387766899,0.03179110650117
"LDPE","Subsurface soil (MP)",0.237349357768482,0.190372948063555
"LDPE","Coastal and ocean water",2.20163135827581,1.10011712521472
"LDPE","Coastal and ocean water (MP)",0.422848655812692,0.109962003553739
"HDPE","Soil",13.2751633374126,6.69531209402739
"HDPE","Soil (MP)",7.29227225539996,2.02169191354378
"HDPE","Fresh water",0.0541643386189857,0.0395612251435202
"HDPE","Fresh water (MP)",0.169758069537727,0.0828826572110486
"HDPE","Subsurface soil (MP)",0.683821421299624,0.508557153347805
"HDPE","Coastal and ocean water",2.40477887328675,1.12012333326279
"HDPE","Coastal and ocean water (MP)",0.587473548346052,0.19437428707704
"PP","Soil",18.6561592497984,7.91819860711882
"PP","Soil (MP)",15.1318145407862,5.30743449310055
"PP","Fresh water",0.0676810898556789,0.0508516810765218
"PP","Fresh water (MP)",0.538922131547375,0.356203260178429
"PP","Subsurface soil (MP)",3.03369155195877,2.1170968642341
"PP","Coastal and ocean water",0.849093930066778,0.340165446539984
"PP","Coastal and ocean water (MP)",1.00277514473289,0.656618384440523
"PS","Soil",1.72901382003516,0.946025171603798
"PS","Soil (MP)",0.717259080728294,0.258250382132615
"PS","Fresh water",0.00944096938625599,0.00860326071434162
"PS","Fresh water (MP)",0.0330221663128524,0.0256350755862323
"PS","Subsurface soil (MP)",0.107520310950813,0.08555767355133
"PS","Coastal and ocean water",0.0717346215507894,0.0575879846022114
"PS","Coastal and ocean water (MP)",0.0388661011883028,0.0274451885884692
"EPS","Soil",5.39977290957156,4.94425268635528
"EPS","Soil (MP)",0.384806139285172,0.167776426661512
"EPS","Fresh water",0.0407171064540119,0.0366944020973594
"EPS","Fresh water (MP)",0.0548445266229782,0.0404470629040161
"EPS","Subsurface soil (MP)",0.000515449369853203,0.000608726504606641
"EPS","Coastal and ocean water",0.0245702643021268,0.0162739609547095
"EPS","Coastal and ocean water (MP)",0.0162391695539622,0.0134035165831215
"PVC","Soil",10.9390790577906,9.0159469660238
"PVC","Soil (MP)",8.55983883167017,2.21796539431533
"PVC","Fresh water",0.00419076496281245,0.00441078357899735
"PVC","Fresh water (MP)",0.433293001741367,0.264055458888398
"PVC","Subsurface soil (MP)",0.869286590724558,0.675440316974824
"PVC","Coastal and ocean water",0.0322565654095381,0.0300084031832068
"PVC","Coastal and ocean water (MP)",0.631161805083719,0.296015822156529
"PET","Soil",24.5829658076476,15.4463579064373
"PET","Soil (MP)",7.5704160656655,3.18734817044288
"PET","Fresh water",0.119814174449916,0.112035728882587
"PET","Fresh water (MP)",0.724918822133285,0.703732554883463
"PET","Subsurface soil (MP)",1.46048882259674,0.960283727939973
"PET","Coastal and ocean water",0.909728235830327,0.760506700534964
"PET","Coastal and ocean water (MP)",0.544804500290493,0.380250037234433
