"mat","dest","mean","sd"
"LDPE","Soil",9.56402138825463,4.38041660653615
"LDPE","Soil (MP)",14.7006148279641,6.9785832088036
"LDPE","Fresh water",0.228381229721199,0.1822436655026
"LDPE","Fresh water (MP)",0.0499668639110541,0.0362008510491386
"LDPE","Subsurface soil (MP)",0.118246207857313,0.110006660951757
"LDPE","Coastal and ocean water",0.0165838727983795,0.0078442743728566
"LDPE","Coastal and ocean water (MP)",0.00588570926786791,0.0149935921503581
"HDPE","Soil",16.7912149709267,10.1578315833817
"HDPE","Soil (MP)",1.51318991447678,0.547365962541269
"HDPE","Fresh water",0.400280678331311,0.254917686843848
"HDPE","Fresh water (MP)",0.136972978973679,0.0904222243966471
"HDPE","Subsurface soil (MP)",0.37194536219393,0.299066121862914
"HDPE","Coastal and ocean water",0.0185188324514554,0.00873483378715053
"HDPE","Coastal and ocean water (MP)",0.0132149874344555,0.0344211975800677
"PP","Soil",22.4427420936597,10.3595673384741
"PP","Soil (MP)",5.93421269848811,2.39913568292036
"PP","Fresh water",0.469520449226322,0.295616149163352
"PP","Fresh water (MP)",0.462718275402826,0.361719924601456
"PP","Subsurface soil (MP)",1.77642912742936,1.28990292195516
"PP","Coastal and ocean water",0.014959973061401,0.0101564891399043
"PP","Coastal and ocean water (MP)",0.0553188534246918,0.153796655586723
"PS","Soil",2.24223714529765,1.35286169068825
"PS","Soil (MP)",0.368758217376676,0.166519076643297
"PS","Fresh water",0.067329335381688,0.0531016711520265
"PS","Fresh water (MP)",0.0205104805683236,0.0148070169177817
"PS","Subsurface soil (MP)",0.054532655632595,0.050489530510614
"PS","Coastal and ocean water",0.00264780710934165,0.00193333501516772
"PS","Coastal and ocean water (MP)",0.00325019340512426,0.00640392182091789
"EPS","Soil",10.4325795304641,9.54667544757091
"EPS","Soil (MP)",0.43941682030744,0.182082044077473
"EPS","Fresh water",0.0195943849570162,0.0154315974321237
"EPS","Fresh water (MP)",0.00415753115008564,0.00237276615133121
"EPS","Subsurface soil (MP)",0.000511411813234216,0.000593111556276404
"EPS","Coastal and ocean water",0.00631915460296142,0.00556609065293396
"EPS","Coastal and ocean water (MP)",0.00503974002879068,0.00477404866475458
"PVC","Soil",20.5837454060659,17.8878739173358
"PVC","Soil (MP)",3.06405574125635,1.09180818875209
"PVC","Fresh water",0.0247709844591632,0.0237948845903959
"PVC","Fresh water (MP)",0.298692074848452,0.168294066469861
"PVC","Subsurface soil (MP)",0.47296357405086,0.389201517403856
"PVC","Coastal and ocean water",0.00127817743024755,0.00102610647728714
"PVC","Coastal and ocean water (MP)",0.0364804913518125,0.0537467697357839
"PET","Soil",31.250804258908,21.6212490870076
"PET","Soil (MP)",4.82823618667568,2.85222041102532
"PET","Fresh water",0.754257246011865,0.595218693619704
"PET","Fresh water (MP)",0.436339788385116,0.298562360172175
"PET","Subsurface soil (MP)",1.49041852026867,0.939873008894148
"PET","Coastal and ocean water",0.0292335446105335,0.0256555313929732
"PET","Coastal and ocean water (MP)",0.0865015711346164,0.144234523517993
