"mat","dest","mean","sd"
"LDPE","Soil",30.5270655037384,17.4795285021936
"LDPE","Soil (MP)",19.7876623356496,7.33852756283076
"LDPE","Fresh water",2.33548120906762,2.02595532238591
"LDPE","Fresh water (MP)",0.172183380003291,0.0912662828360727
"LDPE","Subsurface soil (MP)",0.154579257897102,0.159988677244711
"LDPE","Coastal and ocean water",0,0
"LDPE","Coastal and ocean water (MP)",0,0
"HDPE","Soil",72.4582242406562,50.77507612684
"HDPE","Soil (MP)",2.56149435997485,1.17642938630825
"HDPE","Fresh water",2.51629514438945,1.95226615409223
"HDPE","Fresh water (MP)",0.128149192724415,0.128911295106422
"HDPE","Subsurface soil (MP)",0.495168364065852,0.427350478344892
"HDPE","Coastal and ocean water",0,0
"HDPE","Coastal and ocean water (MP)",0,0
"PP","Soil",69.1092719845247,32.9798369479139
"PP","Soil (MP)",18.3797836686574,5.70228125183263
"PP","Fresh water",2.58830503615578,1.85644489072927
"PP","Fresh water (MP)",0.674841253755277,0.593962333219444
"PP","Subsurface soil (MP)",2.55662054574447,1.88390022384189
"PP","Coastal and ocean water",0,0
"PP","Coastal and ocean water (MP)",0,0
"PS","Soil",4.47118374701856,2.73381705396539
"PS","Soil (MP)",0.525876085578659,0.240970867045229
"PS","Fresh water",0.612268332852991,0.504207507737282
"PS","Fresh water (MP)",0.0190012608234906,0.0223557882913592
"PS","Subsurface soil (MP)",0.073557869292295,0.0750338675810799
"PS","Coastal and ocean water",0,0
"PS","Coastal and ocean water (MP)",0,0
"EPS","Soil",58.4348134515339,52.9667405872476
"EPS","Soil (MP)",0.600212320365128,0.182421625869698
"EPS","Fresh water",0.236550773194748,0.191706703163637
"EPS","Fresh water (MP)",0.0112332962775948,0.00495757754852913
"EPS","Subsurface soil (MP)",0.000821456858387863,0.000877471882980111
"EPS","Coastal and ocean water",0,0
"EPS","Coastal and ocean water (MP)",0,0
"PVC","Soil",110.280462501619,99.7706722171095
"PVC","Soil (MP)",4.96288865128207,1.78521060700423
"PVC","Fresh water",0.140049278896361,0.126354395233796
"PVC","Fresh water (MP)",0.475771166959683,0.277470553985007
"PVC","Subsurface soil (MP)",0.67447616348476,0.588299657213577
"PVC","Coastal and ocean water",0,0
"PVC","Coastal and ocean water (MP)",0,0
"PET","Soil",71.6930709470082,43.7716032430112
"PET","Soil (MP)",9.66681455743252,4.03391307091463
"PET","Fresh water",3.92637126690033,3.39368236931541
"PET","Fresh water (MP)",0.472910647673346,0.457547040707423
"PET","Subsurface soil (MP)",2.27922319651812,1.3384457767524
"PET","Coastal and ocean water",0,0
"PET","Coastal and ocean water (MP)",0,0
