"mat","dest","mean","sd"
"LDPE","Soil",17.3732049759298,8.6934499800286
"LDPE","Soil (MP)",18.314946289555,8.65511421182117
"LDPE","Fresh water",0.343859762815586,0.262549111156302
"LDPE","Fresh water (MP)",0.104647369089477,0.0716893582768068
"LDPE","Subsurface soil (MP)",0.294149931956149,0.232990837930111
"LDPE","Coastal and ocean water",1.20618644525486,0.614254082263253
"LDPE","Coastal and ocean water (MP)",0.235518924341455,0.074101154709738
"HDPE","Soil",31.5116288996744,20.6423241738567
"HDPE","Soil (MP)",2.03537241279118,0.695865831294585
"HDPE","Fresh water",0.540366426177738,0.330812415643441
"HDPE","Fresh water (MP)",0.29045885897842,0.18656727509586
"HDPE","Subsurface soil (MP)",0.843626846839026,0.622413274576367
"HDPE","Coastal and ocean water",1.21947371260133,0.621067248367355
"HDPE","Coastal and ocean water (MP)",0.334637619209872,0.153469882981561
"PP","Soil",38.6702380980331,18.7909310220259
"PP","Soil (MP)",8.17033734236161,3.12476347880771
"PP","Fresh water",0.641476937455571,0.374102554899824
"PP","Fresh water (MP)",1.14174079552288,0.816633055698977
"PP","Subsurface soil (MP)",3.74481361760012,2.65894041878629
"PP","Coastal and ocean water",0.296810390739924,0.0889839292044527
"PP","Coastal and ocean water (MP)",0.802949040489583,0.644432927958995
"PS","Soil",4.12191205829085,2.39991530166101
"PS","Soil (MP)",0.460319820522178,0.199067746719883
"PS","Fresh water",0.1119826993153,0.0764822560577776
"PS","Fresh water (MP)",0.0502856355848221,0.0344681829042996
"PS","Subsurface soil (MP)",0.13438749070706,0.106106489860859
"PS","Coastal and ocean water",0.0229018120803409,0.0171896789449145
"PS","Coastal and ocean water (MP)",0.0464328123658489,0.0410279115048576
"EPS","Soil",21.6515461488053,20.3495579270952
"EPS","Soil (MP)",0.476611510176831,0.200541678819489
"EPS","Fresh water",0.0658825931429634,0.0439752755581032
"EPS","Fresh water (MP)",0.0166324248201031,0.0108332941720633
"EPS","Subsurface soil (MP)",0.00060678975497977,0.000718230779094811
"EPS","Coastal and ocean water",0.223694068973585,0.209081230753576
"EPS","Coastal and ocean water (MP)",0.0801025217305808,0.0570686010434748
"PVC","Soil",42.2054434815251,37.3807316434145
"PVC","Soil (MP)",3.84112178639622,1.23292390569215
"PVC","Fresh water",0.0468722967870934,0.0304208488146476
"PVC","Fresh water (MP)",0.552236253655028,0.293032514121101
"PVC","Subsurface soil (MP)",1.05795482785492,0.801833970825854
"PVC","Coastal and ocean water",0.00858604892970738,0.00663156977763068
"PVC","Coastal and ocean water (MP)",0.537369999962755,0.393531494578777
"PET","Soil",50.5628143050315,36.2118910617361
"PET","Soil (MP)",4.46341749422025,2.79097867890405
"PET","Fresh water",0.9299834213441,0.682380150837087
"PET","Fresh water (MP)",0.659735511247548,0.407244709497858
"PET","Subsurface soil (MP)",1.79865067235431,1.18161512149933
"PET","Coastal and ocean water",0.183508217906869,0.161335834391508
"PET","Coastal and ocean water (MP)",1.01898000462864,0.990094851458974
