"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,85.3054917622469,22.6278379799109,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.00339726222625959,0.0031284751969625,85.3054917622469,22.6278379799109,0.381669228112458,0.351472048393597
"Pre-consumer processes","LDPE","Fresh water",0,0,85.3054917622469,22.6278379799109,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.33748937675633e-05,9.34845859650734e-06,85.3054917622469,22.6278379799109,0.00150261741377922,0.00105026304681185
"Pre-consumer processes","LDPE","Subsurface soil (MP)",5.42984048990388e-08,5.80918934607855e-08,85.3054917622469,22.6278379799109,6.10021508653783e-06,6.52639880589393e-06
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,85.3054917622469,22.6278379799109,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,85.3054917622469,22.6278379799109,0,0
"Pre-consumer processes","HDPE","Soil",0,0,118.188074715303,28.9610009758618,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00466154415364227,0.00425074352307548,118.188074715303,28.9610009758618,0.523706396633287,0.4775545398927
"Pre-consumer processes","HDPE","Fresh water",0,0,118.188074715303,28.9610009758618,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",2.3404032806489e-05,1.41445458394497e-05,118.188074715303,28.9610009758618,0.00262935226693,0.00158908483743626
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.63349146107583e-05,1.7406935447206e-05,118.188074715303,28.9610009758618,0.00183516426921078,0.00195560165023036
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,118.188074715303,28.9610009758618,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,118.188074715303,28.9610009758618,0,0
"Pre-consumer processes","PP","Soil",0,0,180.055306923256,37.3692858226433,0,0
"Pre-consumer processes","PP","Soil (MP)",0.00676511970530078,0.00592000887233721,180.055306923256,37.3692858226433,0.76003494697946,0.665090024331612
"Pre-consumer processes","PP","Fresh water",0,0,180.055306923256,37.3692858226433,0,0
"Pre-consumer processes","PP","Fresh water (MP)",9.76418490410668e-05,8.54582611692493e-05,180.055306923256,37.3692858226433,0.0109696828425306,0.00960090402329983
"Pre-consumer processes","PP","Subsurface soil (MP)",0.00023778864417059,0.000251037560435237,180.055306923256,37.3692858226433,0.02671463143851,0.0282030957686897
"Pre-consumer processes","PP","Coastal and ocean water",0,0,180.055306923256,37.3692858226433,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0,180.055306923256,37.3692858226433,0,0
"Pre-consumer processes","PS","Soil",0,0,42.6229881526209,10.4053679431142,0,0
"Pre-consumer processes","PS","Soil (MP)",0.00169190532811941,0.0015438585620969,42.6229881526209,10.4053679431142,0.190078998209586,0.173446518539458
"Pre-consumer processes","PS","Fresh water",0,0,42.6229881526209,10.4053679431142,0,0
