"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,43.6391934705428,11.6855503064332,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.00399432034196466,0.00176233674337279,43.6391934705428,11.6855503064332,0.608030618594086,0.268269594951161
"Pre-consumer processes","LDPE","Fresh water",0,0,43.6391934705428,11.6855503064332,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",9.10634977963761e-05,4.69197269234037e-05,43.6391934705428,11.6855503064332,0.0138620316239427,0.00714229910049496
"Pre-consumer processes","LDPE","Subsurface soil (MP)",1.15464589674696e-07,1.13943460642353e-07,43.6391934705428,11.6855503064332,1.75764585398991e-05,1.73449064991728e-05
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,43.6391934705428,11.6855503064332,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",2.85705668328532e-06,7.93894250546583e-06,43.6391934705428,11.6855503064332,0.000434912023516343,0.00120849599163772
"Pre-consumer processes","HDPE","Soil",0,0,60.988610668507,14.8779695175522,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00798146448944073,0.00340841573095587,60.988610668507,14.8779695175522,1.21496884959767,0.518841992602818
"Pre-consumer processes","HDPE","Fresh water",0,0,60.988610668507,14.8779695175522,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.000202763629594587,0.00010396483888975,60.988610668507,14.8779695175522,0.0308654500830894,0.0158259227829174
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.03753388478198e-05,9.29103307356997e-06,60.988610668507,14.8779695175522,0.001579373499788,0.00141431635508789
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,60.988610668507,14.8779695175522,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",6.78325867549981e-06,1.79708464530593e-05,60.988610668507,14.8779695175522,0.00103257340810056,0.00273559052605643
"Pre-consumer processes","PP","Soil",0,0,95.5826419806978,18.8676649289931,0,0
"Pre-consumer processes","PP","Soil (MP)",0.0147275558218783,0.00565665455858326,95.5826419806978,18.8676649289931,2.24188450352257,0.861077448970135
"Pre-consumer processes","PP","Fresh water",0,0,95.5826419806978,18.8676649289931,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.000460251545857642,0.000220037879767157,95.5826419806978,18.8676649289931,0.0700612390039451,0.0334950020766611
"Pre-consumer processes","PP","Subsurface soil (MP)",0.000381199162392209,0.000344100141776817,95.5826419806978,18.8676649289931,0.0580275848388458,0.0523802309656419
"Pre-consumer processes","PP","Coastal and ocean water",0,0,95.5826419806978,18.8676649289931,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",3.52258279261717e-05,8.87511328513357e-05,95.5826419806978,18.8676649289931,0.0053622093649865,0.01351003464634
"Pre-consumer processes","PS","Soil",0,0,21.7609992481766,5.3464207031816,0,0
"Pre-consumer processes","PS","Soil (MP)",0.000874535383682335,0.00079990587079626,21.7609992481766,5.3464207031816,0.13312509884003,0.121764710838907
"Pre-consumer processes","PS","Fresh water",0,0,21.7609992481766,5.3464207031816,0,0
"Pre-consumer processes","PS","Fresh water (MP)",3.43831160858294e-06,2.34675264453412e-06,21.7609992481766,5.3464207031816,0.000523392856682502,0.000357231603873201
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,21.7609992481766,5.3464207031816,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,21.7609992481766,5.3464207031816,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",9.74788230137201e-08,3.03774330544877e-07,21.7609992481766,5.3464207031816,1.48385968031054e-05,4.62416827648222e-05
"Pre-consumer processes","EPS","Soil",0,0,21.4927465407186,7.44066975085487,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.000850024638183903,0.00078480736895666,21.4927465407186,7.44066975085487,0.129393980033398,0.119466359523184
"Pre-consumer processes","EPS","Fresh water",0,0,21.4927465407186,7.44066975085487,0,0
