"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,106.180681955312,28.4630060308474,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.00430996069224524,0.00399327245518726,106.180681955312,28.4630060308474,0.500806898166117,0.464008499059583
"Pre-consumer processes","LDPE","Fresh water",0,0,106.180681955312,28.4630060308474,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.67202609806429e-05,1.15893216903905e-05,106.180681955312,28.4630060308474,0.00194285345880534,0.00134665085416132
"Pre-consumer processes","LDPE","Subsurface soil (MP)",6.85293812001043e-08,7.22143876365592e-08,106.180681955312,28.4630060308474,7.96294659805561e-06,8.39113533919275e-06
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,106.180681955312,28.4630060308474,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,106.180681955312,28.4630060308474,0,0
"Pre-consumer processes","HDPE","Soil",0,0,147.905152823156,36.4805268669023,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00587811556908078,0.00537909251270378,147.905152823156,36.4805268669023,0.6830226620187,0.62503740256443
"Pre-consumer processes","HDPE","Fresh water",0,0,147.905152823156,36.4805268669023,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",2.87363118581038e-05,1.72865539348995e-05,147.905152823156,36.4805268669023,0.00333908920150595,0.00200865531597422
"Pre-consumer processes","HDPE","Subsurface soil (MP)",2.08436384224647e-05,2.21550394541672e-05,147.905152823156,36.4805268669023,0.00242197983931327,0.00257436143391121
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,147.905152823156,36.4805268669023,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,147.905152823156,36.4805268669023,0,0
"Pre-consumer processes","PP","Soil",0,0,225.531743657469,46.115210669955,0,0
"Pre-consumer processes","PP","Soil (MP)",0.00788550598118128,0.00736654755161379,225.531743657469,46.115210669955,0.916276521503146,0.855974820409566
"Pre-consumer processes","PP","Fresh water",0,0,225.531743657469,46.115210669955,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.000118740218686019,9.80009297798853e-05,225.531743657469,46.115210669955,0.013797323190141,0.0113874685095776
"Pre-consumer processes","PP","Subsurface soil (MP)",0.000299003992361883,0.000315928861730659,225.531743657469,46.115210669955,0.0347435330961295,0.0367101615495385
"Pre-consumer processes","PP","Coastal and ocean water",0,0,225.531743657469,46.115210669955,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0,225.531743657469,46.115210669955,0,0
"Pre-consumer processes","PS","Soil",0,0,53.3014105199846,13.0068929523433,0,0
"Pre-consumer processes","PS","Soil (MP)",0.00212157895364302,0.00196553443691413,53.3014105199846,13.0068929523433,0.24652228891558,0.228390297470871
"Pre-consumer processes","PS","Fresh water",0,0,53.3014105199846,13.0068929523433,0,0
"Pre-consumer processes","PS","Fresh water (MP)",8.340975783746e-06,5.80547555372488e-06,53.3014105199846,13.0068929523433,0.000969200999315945,0.000674582069778826
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,53.3014105199846,13.0068929523433,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,53.3014105199846,13.0068929523433,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0,53.3014105199846,13.0068929523433,0,0
"Pre-consumer processes","EPS","Soil",0,0,52.5773698670315,18.328533755572,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.00210522701746499,0.00195324064244739,52.5773698670315,18.328533755572,0.24462223389859,0.226961788601948
"Pre-consumer processes","EPS","Fresh water",0,0,52.5773698670315,18.328533755572,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",8.22675971476419e-06,5.77010529371445e-06,52.5773698670315,18.328533755572,0.000955929371263646,0.000670472132016513
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,52.5773698670315,18.328533755572,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,52.5773698670315,18.328533755572,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",0,0,52.5773698670315,18.328533755572,0,0
"Pre-consumer processes","PVC","Soil",0,0,127.033951367047,35.1093484377052,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.00509277588668384,0.00460744123001602,127.033951367047,35.1093484377052,0.591768110427167,0.535373409562342
"Pre-consumer processes","PVC","Fresh water",0,0,127.033951367047,35.1093484377052,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",2.00093429784544e-05,1.38976904221981e-05,127.033951367047,35.1093484377052,0.00232503674787843,0.00161487765875382
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,127.033951367047,35.1093484377052,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,127.033951367047,35.1093484377052,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",0,0,127.033951367047,35.1093484377052,0,0
"Pre-consumer processes","PET","Soil",0,0,144.414670462707,38.6953002007495,0,0
"Pre-consumer processes","PET","Soil (MP)",0.00374042786168628,0.00344692763639785,144.414670462707,38.6953002007495,0.434628575289716,0.400524566475384
"Pre-consumer processes","PET","Fresh water",0,0,144.414670462707,38.6953002007495,0,0
"Pre-consumer processes","PET","Fresh water (MP)",0.000191995083319334,0.000188995014131523,144.414670462707,38.6953002007495,0.0223093594132551,0.0219607587063078
"Pre-consumer processes","PET","Subsurface soil (MP)",0.000601778374732696,0.000643186752965554,144.414670462707,38.6953002007495,0.0699251762958259,0.0747367286374051
"Pre-consumer processes","PET","Coastal and ocean water",0,0,144.414670462707,38.6953002007495,0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",0,0,144.414670462707,38.6953002007495,0,0
"ConsumerFilms","LDPE","Soil",0.0333243956235642,0.0279992411243821,16.1362273238865,6.84389129591038,3.87221332099983,3.25344338377301
"ConsumerFilms","LDPE","Soil (MP)",0.00494603685202562,0.00393492650772461,16.1362273238865,6.84389129591038,0.574717393254897,0.457228842571788
"ConsumerFilms","LDPE","Fresh water",0.000617838775745786,0.00068091763994487,16.1362273238865,6.84389129591038,0.0717913556392111,0.0791209654837334
"ConsumerFilms","LDPE","Fresh water (MP)",0,0,16.1362273238865,6.84389129591038,0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0,16.1362273238865,6.84389129591038,0,0
"ConsumerFilms","LDPE","Coastal and ocean water",0,0,16.1362273238865,6.84389129591038,0,0
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0,16.1362273238865,6.84389129591038,0,0
"ConsumerFilms","HDPE","Soil",0.0375167918851264,0.0341301873036324,7.573848403792,3.18810300256459,4.35935951966794,3.9658443447326
"ConsumerFilms","HDPE","Soil (MP)",0.00230444428611951,0.00183881213110616,7.573848403792,3.18810300256459,0.267770793595552,0.213665475266729
"ConsumerFilms","HDPE","Fresh water",0.00080948017485631,0.000865550598809113,7.573848403792,3.18810300256459,0.0940596178118664,0.100574864029584
"ConsumerFilms","HDPE","Fresh water (MP)",0,0,7.573848403792,3.18810300256459,0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0,7.573848403792,3.18810300256459,0,0
"ConsumerFilms","HDPE","Coastal and ocean water",0,0,7.573848403792,3.18810300256459,0,0
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0,7.573848403792,3.18810300256459,0,0
"ConsumerFilms","PP","Soil",0.0890133572566164,0.0790606804451631,25.9250515449101,10.8074120324658,10.3431345495208,9.18665783005521
"ConsumerFilms","PP","Soil (MP)",0.0078760735548204,0.00625925901196302,25.9250515449101,10.8074120324658,0.915180496614457,0.727310598502585
"ConsumerFilms","PP","Fresh water",0.00185272186528449,0.00206567504922245,25.9250515449101,10.8074120324658,0.215281752380509,0.240026391860506
"ConsumerFilms","PP","Fresh water (MP)",0,0,25.9250515449101,10.8074120324658,0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0,25.9250515449101,10.8074120324658,0,0
"ConsumerFilms","PP","Coastal and ocean water",0,0,25.9250515449101,10.8074120324658,0,0
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0,25.9250515449101,10.8074120324658,0,0
"ConsumerFilms","PS","Soil",0.00410769900472593,0.00361865374102418,1.14068144660358,0.485924160273107,0.477304584438141,0.420478720105323
"ConsumerFilms","PS","Soil (MP)",0.000351067526897974,0.000278967634610007,1.14068144660358,0.485924160273107,0.0407931885571405,0.0324153572976082
"ConsumerFilms","PS","Fresh water",8.54369157960933e-05,9.17201058394904e-05,1.14068144660358,0.485924160273107,0.00992756079323578,0.0106576521190995
"ConsumerFilms","PS","Fresh water (MP)",0,0,1.14068144660358,0.485924160273107,0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0,1.14068144660358,0.485924160273107,0,0
"ConsumerFilms","PS","Coastal and ocean water",0,0,1.14068144660358,0.485924160273107,0,0
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0,1.14068144660358,0.485924160273107,0,0
"ConsumerFilms","EPS","Soil",0,0,0,0,0,0
"ConsumerFilms","EPS","Soil (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Fresh water",0,0,0,0,0,0
"ConsumerFilms","EPS","Fresh water (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Coastal and ocean water",0,0,0,0,0,0
"ConsumerFilms","EPS","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerFilms","PVC","Soil",0.00903623895704759,0.00812017664559758,2.49568395557479,1.05244137023554,1.04998888071282,0.943544679133534
"ConsumerFilms","PVC","Soil (MP)",0.000765466196628032,0.000613284296145794,2.49568395557479,1.05244137023554,0.0889453011193464,0.07126213624161
"ConsumerFilms","PVC","Fresh water",0.000187782841226347,0.000200276464295472,2.49568395557479,1.05244137023554,0.021819907177482,0.0232716356415868
"ConsumerFilms","PVC","Fresh water (MP)",0,0,2.49568395557479,1.05244137023554,0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0,2.49568395557479,1.05244137023554,0,0
"ConsumerFilms","PVC","Coastal and ocean water",0,0,2.49568395557479,1.05244137023554,0,0
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0,2.49568395557479,1.05244137023554,0,0
"ConsumerFilms","PET","Soil",0.0100632067040987,0.00891847497875998,2.79847744668527,1.19585222630749,1.16932002283732,1.03630499427088
"ConsumerFilms","PET","Soil (MP)",0.000838765194137202,0.000663856430244627,2.79847744668527,1.19585222630749,0.0974624654747666,0.0771384946170469
"ConsumerFilms","PET","Fresh water",0.000206770732074088,0.000226523489246853,2.79847744668527,1.19585222630749,0.0240262536843733,0.0263214757887697
"ConsumerFilms","PET","Fresh water (MP)",0,0,2.79847744668527,1.19585222630749,0,0
"ConsumerFilms","PET","Subsurface soil (MP)",0,0,2.79847744668527,1.19585222630749,0,0
"ConsumerFilms","PET","Coastal and ocean water",0,0,2.79847744668527,1.19585222630749,0,0
"ConsumerFilms","PET","Coastal and ocean water (MP)",0,0,2.79847744668527,1.19585222630749,0,0
"ConsumerBags","LDPE","Soil",0.00351555326995843,0.00306811466619881,1.32331383386808,0.568456651934225,0.40849869736247,0.356507425221215
"ConsumerBags","LDPE","Soil (MP)",0.000404866711260373,0.00032472148737095,1.32331383386808,0.568456651934225,0.0470445222857469,0.0377318431582761
"ConsumerBags","LDPE","Fresh water",6.90691764752626e-05,7.67239124510267e-05,1.32331383386808,0.568456651934225,0.00802566948967807,0.00891513110059264
"ConsumerBags","LDPE","Fresh water (MP)",0,0,1.32331383386808,0.568456651934225,0,0
"ConsumerBags","LDPE","Subsurface soil (MP)",0,0,1.32331383386808,0.568456651934225,0,0
"ConsumerBags","LDPE","Coastal and ocean water",0,0,1.32331383386808,0.568456651934225,0,0
"ConsumerBags","LDPE","Coastal and ocean water (MP)",0,0,1.32331383386808,0.568456651934225,0,0
"ConsumerBags","HDPE","Soil",0.00820513677790708,0.00737247967476213,1.91997060625672,0.81396774337598,0.953416838850964,0.856664118620289
"ConsumerBags","HDPE","Soil (MP)",0.000589803653906596,0.000478579050492069,1.91997060625672,0.81396774337598,0.0685337430040758,0.0556097159390475
"ConsumerBags","HDPE","Fresh water",0.000173799391245123,0.000183024438130978,1.91997060625672,0.81396774337598,0.0201950644675803,0.021266992368142
"ConsumerBags","HDPE","Fresh water (MP)",0,0,1.91997060625672,0.81396774337598,0,0
"ConsumerBags","HDPE","Subsurface soil (MP)",0,0,1.91997060625672,0.81396774337598,0,0
"ConsumerBags","HDPE","Coastal and ocean water",0,0,1.91997060625672,0.81396774337598,0,0
"ConsumerBags","HDPE","Coastal and ocean water (MP)",0,0,1.91997060625672,0.81396774337598,0,0
"ConsumerBags","PP","Soil",0,0,0,0,0,0
"ConsumerBags","PP","Soil (MP)",0,0,0,0,0,0
"ConsumerBags","PP","Fresh water",0,0,0,0,0,0
"ConsumerBags","PP","Fresh water (MP)",0,0,0,0,0,0
"ConsumerBags","PP","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerBags","PP","Coastal and ocean water",0,0,0,0,0,0
"ConsumerBags","PP","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerBags","PS","Soil",0,0,0,0,0,0
"ConsumerBags","PS","Soil (MP)",0,0,0,0,0,0
"ConsumerBags","PS","Fresh water",0,0,0,0,0,0
"ConsumerBags","PS","Fresh water (MP)",0,0,0,0,0,0
"ConsumerBags","PS","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerBags","PS","Coastal and ocean water",0,0,0,0,0,0
"ConsumerBags","PS","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerBags","EPS","Soil",0,0,0,0,0,0
"ConsumerBags","EPS","Soil (MP)",0,0,0,0,0,0
"ConsumerBags","EPS","Fresh water",0,0,0,0,0,0
"ConsumerBags","EPS","Fresh water (MP)",0,0,0,0,0,0
"ConsumerBags","EPS","Subsurface soil (MP)",0,0,0,0,0,0
