"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,5.23613868504074,1.39904484356642,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.000211556346946646,0.000196284281922599,5.23613868504074,1.39904484356642,0.234429907446066,0.217506620379663
"Pre-consumer processes","LDPE","Fresh water",0,0,5.23613868504074,1.39904484356642,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",8.55707084914343e-07,5.65984430734933e-07,5.23613868504074,1.39904484356642,0.000948226491961521,0.000627178903531395
"Pre-consumer processes","LDPE","Subsurface soil (MP)",1.58016291933531e-07,1.54561581511556e-07,5.23613868504074,1.39904484356642,0.000175101079346442,0.000171272844192237
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,5.23613868504074,1.39904484356642,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,5.23613868504074,1.39904484356642,0,0
"Pre-consumer processes","HDPE","Soil",0,0,7.23191044421039,1.75941628270368,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00029724374630592,0.000270040326677324,7.23191044421039,1.75941628270368,0.329381864175375,0.299237199466467
"Pre-consumer processes","HDPE","Fresh water",0,0,7.23191044421039,1.75941628270368,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",1.4235249614477e-06,8.94721178411774e-07,7.23191044421039,1.75941628270368,0.00157743707421603,0.000991458805525727
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.56652179030204e-06,1.505859724242e-06,7.23191044421039,1.75941628270368,0.0017358947798686,0.00166867390591614
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,7.23191044421039,1.75941628270368,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,7.23191044421039,1.75941628270368,0,0
"Pre-consumer processes","PP","Soil",0,0,11.038490019777,2.25090803695265,0,0
"Pre-consumer processes","PP","Soil (MP)",0.00048416015362527,0.000365206189454089,11.038490019777,2.25090803695265,0.536507751441133,0.404692435032662
"Pre-consumer processes","PP","Fresh water",0,0,11.038490019777,2.25090803695265,0,0
"Pre-consumer processes","PP","Fresh water (MP)",5.35920435191459e-06,4.70298246544602e-06,11.038490019777,2.25090803695265,0.00593864376246174,0.00521147089183305
"Pre-consumer processes","PP","Subsurface soil (MP)",2.05877573150013e-05,1.98057612206803e-05,11.038490019777,2.25090803695265,0.022813714225719,0.0219471683874081
"Pre-consumer processes","PP","Coastal and ocean water",0,0,11.038490019777,2.25090803695265,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0,11.038490019777,2.25090803695265,0,0
"Pre-consumer processes","PS","Soil",0,0,2.6041151601968,0.63026088433749,0,0
"Pre-consumer processes","PS","Soil (MP)",0.000104574664134167,9.67170026286296e-05,2.6041151601968,0.63026088433749,0.115881320451988,0.107174085306024
"Pre-consumer processes","PS","Fresh water",0,0,2.6041151601968,0.63026088433749,0,0
"Pre-consumer processes","PS","Fresh water (MP)",4.09760239810695e-07,2.80918787446131e-07,2.6041151601968,0.63026088433749,0.000454063687903087,0.000311291843952411
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,2.6041151601968,0.63026088433749,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,2.6041151601968,0.63026088433749,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0,2.6041151601968,0.63026088433749,0,0
"Pre-consumer processes","EPS","Soil",0,0,2.5597331137346,0.89470447157128,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.000105222060317604,9.52503038797932e-05,2.5597331137346,0.89470447157128,0.116598713380891,0.105548806476513
"Pre-consumer processes","EPS","Fresh water",0,0,2.5597331137346,0.89470447157128,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",4.10162571768378e-07,2.86387436641649e-07,2.5597331137346,0.89470447157128,0.000454509520159899,0.000317351765780631
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,2.5597331137346,0.89470447157128,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,2.5597331137346,0.89470447157128,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",0,0,2.5597331137346,0.89470447157128,0,0
"Pre-consumer processes","PVC","Soil",0,0,6.21538067817471,1.71880308585461,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.000249982536467281,0.00022766826821236,6.21538067817471,1.71880308585461,0.277010752610212,0.252283856361398
"Pre-consumer processes","PVC","Fresh water",0,0,6.21538067817471,1.71880308585461,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",9.86948812934125e-07,7.00557792344333e-07,6.21538067817471,1.71880308585461,0.00109365813037272,0.000776302393145976
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,6.21538067817471,1.71880308585461,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,6.21538067817471,1.71880308585461,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",0,0,6.21538067817471,1.71880308585461,0,0
"Pre-consumer processes","PET","Soil",0,0,7.03768928349873,1.88394118627715,0,0
"Pre-consumer processes","PET","Soil (MP)",0.000361275023499609,0.00021469809481546,7.03768928349873,1.88394118627715,0.400336229774984,0.237911342405286
"Pre-consumer processes","PET","Fresh water",0,0,7.03768928349873,1.88394118627715,0,0
"Pre-consumer processes","PET","Fresh water (MP)",8.44938889780364e-06,9.37871618285806e-06,7.03768928349873,1.88394118627715,0.00936294035076847,0.0103927468896257
"Pre-consumer processes","PET","Subsurface soil (MP)",4.18481573471871e-05,4.05670690030552e-05,7.03768928349873,1.88394118627715,0.0463727975798507,0.0449531974294435
"Pre-consumer processes","PET","Coastal and ocean water",0,0,7.03768928349873,1.88394118627715,0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",0,0,7.03768928349873,1.88394118627715,0,0
"ConsumerFilms","LDPE","Soil",0.00287842195131499,0.00242120870549344,0.79236993160374,0.337502786593625,3.18963813365371,2.68299080093109
"ConsumerFilms","LDPE","Soil (MP)",1.67473837865162e-05,1.36146337251703e-05,0.79236993160374,0.337502786593625,0.0185581179090169,0.0150866536039625
"ConsumerFilms","LDPE","Fresh water",0.000118592084836224,0.000131172673633871,0.79236993160374,0.337502786593625,0.131414310528832,0.145355117836274
"ConsumerFilms","LDPE","Fresh water (MP)",0,0,0.79236993160374,0.337502786593625,0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0,0.79236993160374,0.337502786593625,0,0
"ConsumerFilms","LDPE","Coastal and ocean water",2.27956360340023e-05,2.03579964932021e-05,0.79236993160374,0.337502786593625,0.0252603097130105,0.0225591115680038
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0,0.79236993160374,0.337502786593625,0,0
"ConsumerFilms","HDPE","Soil",0.00329919830931198,0.00299718218271788,0.368093014900841,0.156829348096245,3.65590900703765,3.32123877082616
"ConsumerFilms","HDPE","Soil (MP)",7.81866847619655e-06,6.34856766788592e-06,0.368093014900841,0.156829348096245,0.00866402617402205,0.00703497745294746
"ConsumerFilms","HDPE","Fresh water",0.000153917891934845,0.000178048991432282,0.368093014900841,0.156829348096245,0.170559558629925,0.197299722673232
"ConsumerFilms","HDPE","Fresh water (MP)",0,0,0.368093014900841,0.156829348096245,0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0,0.368093014900841,0.156829348096245,0,0
"ConsumerFilms","HDPE","Coastal and ocean water",2.84278097138471e-05,2.64555486864021e-05,0.368093014900841,0.156829348096245,0.031501436361029,0.0293159336484113
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0,0.368093014900841,0.156829348096245,0,0
"ConsumerFilms","PP","Soil",0.00774206989686875,0.00683301722959086,1.26234652601536,0.526346075394679,8.57914572433815,7.57180590339058
