"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,75.6718449010898,19.8745057529133,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.0048390095137678,0.00283747887289782,75.6718449010898,19.8745057529133,0.452500197894134,0.265335240167147
"Pre-consumer processes","LDPE","Fresh water",0,0,75.6718449010898,19.8745057529133,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",7.93896776359262e-05,4.74293008873643e-05,75.6718449010898,19.8745057529133,0.00742380124254741,0.00443515723134052
"Pre-consumer processes","LDPE","Subsurface soil (MP)",2.97191718017709e-07,2.868457121419e-07,75.6718449010898,19.8745057529133,2.77906689029841e-05,2.68232044471079e-05
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,75.6718449010898,19.8745057529133,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,75.6718449010898,19.8745057529133,0,0
"Pre-consumer processes","HDPE","Soil",0,0,123.622226017907,28.5957690512349,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.0578007284198653,0.024094378007893,123.622226017907,28.5957690512349,5.40499888954531,2.25308728691018
"Pre-consumer processes","HDPE","Fresh water",0,0,123.622226017907,28.5957690512349,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.00150746976248452,0.000779551797653244,123.622226017907,28.5957690512349,0.140964873886462,0.0728966003689793
"Pre-consumer processes","HDPE","Subsurface soil (MP)",8.49695825330655e-05,7.37399673979562e-05,123.622226017907,28.5957690512349,0.00794558324421577,0.00689549167972217
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,123.622226017907,28.5957690512349,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,123.622226017907,28.5957690512349,0,0
"Pre-consumer processes","PP","Soil",0,0,172.824651641777,32.969158772566,0,0
"Pre-consumer processes","PP","Soil (MP)",0.0428948971488062,0.0158140465750154,172.824651641777,32.969158772566,4.01114099760679,1.47878593425822
"Pre-consumer processes","PP","Fresh water",0,0,172.824651641777,32.969158772566,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.0013154824276851,0.000679610954897855,172.824651641777,32.969158772566,0.123011962915171,0.0635510409118525
"Pre-consumer processes","PP","Subsurface soil (MP)",0.00116811599440989,0.00100982642760629,172.824651641777,32.969158772566,0.10923159318656,0.094429791268333
"Pre-consumer processes","PP","Coastal and ocean water",0,0,172.824651641777,32.969158772566,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0,172.824651641777,32.969158772566,0,0
"Pre-consumer processes","PS","Soil",0,0,37.6727474821941,9.27991464563803,0,0
"Pre-consumer processes","PS","Soil (MP)",0.00151892603046616,0.00140130310615672,37.6727474821941,9.27991464563803,0.14203615996558,0.131037132917694
"Pre-consumer processes","PS","Fresh water",0,0,37.6727474821941,9.27991464563803,0,0
"Pre-consumer processes","PS","Fresh water (MP)",6.14131501637136e-06,4.35760561925984e-06,37.6727474821941,9.27991464563803,0.000574279974513728,0.000407483680172465
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,37.6727474821941,9.27991464563803,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,37.6727474821941,9.27991464563803,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0,37.6727474821941,9.27991464563803,0,0
"Pre-consumer processes","EPS","Soil",0,0,37.3922231213416,12.9256828281158,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.00150320859231629,0.00139125323759329,37.3922231213416,12.9256828281158,0.140566407973366,0.130097360532287
"Pre-consumer processes","EPS","Fresh water",0,0,37.3922231213416,12.9256828281158,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",6.03861962299835e-06,4.20596103655623e-06,37.3922231213416,12.9256828281158,0.000564676834513302,0.000393303256784635
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,37.3922231213416,12.9256828281158,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,37.3922231213416,12.9256828281158,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",0,0,37.3922231213416,12.9256828281158,0,0
"Pre-consumer processes","PVC","Soil",0,0,89.6749947874566,25.1355225869036,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.00365589035721323,0.00337124279067005,89.6749947874566,25.1355225869036,0.341865645316775,0.315247991471622
"Pre-consumer processes","PVC","Fresh water",0,0,89.6749947874566,25.1355225869036,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",1.4702570342834e-05,1.01828360787072e-05,89.6749947874566,25.1355225869036,0.00137485077695263,0.000952206299166953
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,89.6749947874566,25.1355225869036,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,89.6749947874566,25.1355225869036,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",0,0,89.6749947874566,25.1355225869036,0,0
"Pre-consumer processes","PET","Soil",0,0,102.313412474819,27.2532056909164,0,0
"Pre-consumer processes","PET","Soil (MP)",0.00407502430225666,0.00266671439850835,102.313412474819,27.2532056909164,0.381059243208388,0.249366898250341
"Pre-consumer processes","PET","Fresh water",0,0,102.313412474819,27.2532056909164,0,0
"Pre-consumer processes","PET","Fresh water (MP)",0.000161306935613316,0.000191257353786338,102.313412474819,27.2532056909164,0.0150839588306344,0.0178846497802482
"Pre-consumer processes","PET","Subsurface soil (MP)",0.000588853927673604,0.000574044436389753,102.313412474819,27.2532056909164,0.0550642684303328,0.0536794193785612
"Pre-consumer processes","PET","Coastal and ocean water",0,0,102.313412474819,27.2532056909164,0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",0,0,102.313412474819,27.2532056909164,0,0
