"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,1079.59765419381,287.925549337604,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.063690417880554,0.0375765788447317,1079.59765419381,287.925549337604,0.765816239631672,0.451822350468225
"Pre-consumer processes","LDPE","Fresh water",0,0,1079.59765419381,287.925549337604,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.000932634010452825,0.000449206373456873,1079.59765419381,287.925549337604,0.0112140302200098,0.00540127616032422
"Pre-consumer processes","LDPE","Subsurface soil (MP)",5.05311719437098e-06,5.31649949233279e-06,1079.59765419381,287.925549337604,6.07588917923059e-05,6.39258115225067e-05
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,1079.59765419381,287.925549337604,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",5.25420432617635e-05,7.65832145732349e-05,1079.59765419381,287.925549337604,0.000631767718477691,0.000920839764521105
"Pre-consumer processes","HDPE","Soil",0,0,1534.9229558148,370.525039591065,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.247966633439148,0.10439586810103,1534.9229558148,370.525039591065,2.98156113735396,1.2552602699538
"Pre-consumer processes","HDPE","Fresh water",0,0,1534.9229558148,370.525039591065,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.00617321639369923,0.00318060963938407,1534.9229558148,370.525039591065,0.074227011258137,0.0382437828927018
"Pre-consumer processes","HDPE","Subsurface soil (MP)",0.000265503726496981,0.000258078595816854,1534.9229558148,370.525039591065,0.00319242787534282,0.00310314779451666
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,1534.9229558148,370.525039591065,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0.000387958089627937,0.000583923556042309,1534.9229558148,370.525039591065,0.00466482424233341,0.00702112117963049
"Pre-consumer processes","PP","Soil",0,0,2323.47336826237,467.541892421901,0,0
"Pre-consumer processes","PP","Soil (MP)",0.274011100420926,0.106230376554816,2323.47336826237,467.541892421901,3.29472089404769,1.27731847607651
"Pre-consumer processes","PP","Fresh water",0,0,2323.47336826237,467.541892421901,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.00818871748137725,0.00423454662126557,2323.47336826237,467.541892421901,0.098461480355731,0.0509163650978763
"Pre-consumer processes","PP","Subsurface soil (MP)",0.00585879944700365,0.00574931871116193,2323.47336826237,467.541892421901,0.0704464487841013,0.0691300478524625
"Pre-consumer processes","PP","Coastal and ocean water",0,0,2323.47336826237,467.541892421901,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0.00132621674677626,0.00181074211264074,2323.47336826237,467.541892421901,0.0159464854486823,0.0217724386460437
"Pre-consumer processes","PS","Soil",0,0,545.826294209563,131.814402955671,0,0
"Pre-consumer processes","PS","Soil (MP)",0.0681540102961868,0.0301882538184934,545.826294209563,131.814402955671,0.819486660909156,0.362984822358713
"Pre-consumer processes","PS","Fresh water",0,0,545.826294209563,131.814402955671,0,0
"Pre-consumer processes","PS","Fresh water (MP)",0.00170498789215525,0.000930453545227367,545.826294209563,131.814402955671,0.020500845490394,0.0111878122152428
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,545.826294209563,131.814402955671,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,545.826294209563,131.814402955671,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",9.63010297724593e-05,0.000154843030283099,545.826294209563,131.814402955671,0.00115792759644492,0.00186183905100081
"Pre-consumer processes","EPS","Soil",0,0,538.48275469243,185.620923959102,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.0652014923261385,0.0275377824533407,538.48275469243,185.620923959102,0.78398546175691,0.331115444175022
"Pre-consumer processes","EPS","Fresh water",0,0,538.48275469243,185.620923959102,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",0.00162633047822847,0.000847842638772595,538.48275469243,185.620923959102,0.0195550654663795,0.0101944952322642
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,538.48275469243,185.620923959102,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,538.48275469243,185.620923959102,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",9.01024443693157e-05,0.000138351751033369,538.48275469243,185.620923959102,0.00108339554715968,0.00166354722183699
"Pre-consumer processes","PVC","Soil",0,0,1318.05288049461,356.842423673717,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.218557851867286,0.0911039367920079,1318.05288049461,356.842423673717,2.62794872178228,1.09543753379892
"Pre-consumer processes","PVC","Fresh water",0,0,1318.05288049461,356.842423673717,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",0.00539594182232668,0.0028231140700473,1318.05288049461,356.842423673717,0.0648810294100326,0.0339452412642278
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,1318.05288049461,356.842423673717,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,1318.05288049461,356.842423673717,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",0.000306719003134142,0.000485728279081726,1318.05288049461,356.842423673717,0.0036880020797521,0.00584041707603088
