"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,67.3108954057268,17.2374527668047,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.00264035974303213,0.0024142615002669,67.3108954057268,17.2374527668047,0.453454784787245,0.414624723738008
"Pre-consumer processes","LDPE","Fresh water",0,0,67.3108954057268,17.2374527668047,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",2.18362673227774e-05,1.71962550915355e-05,67.3108954057268,17.2374527668047,0.00375015560873375,0.00295328095811825
"Pre-consumer processes","LDPE","Subsurface soil (MP)",2.34794138425702e-05,2.46009097588037e-05,67.3108954057268,17.2374527668047,0.00403234922021902,0.00422495467509217
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,67.3108954057268,17.2374527668047,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,67.3108954057268,17.2374527668047,0,0
"Pre-consumer processes","HDPE","Soil",0,0,92.6021181950752,22.1287138471332,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00360751159625179,0.00327960701869251,92.6021181950752,22.1287138471332,0.619553225204561,0.563238967255322
"Pre-consumer processes","HDPE","Fresh water",0,0,92.6021181950752,22.1287138471332,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",3.13184303100912e-05,2.56060755809912e-05,92.6021181950752,22.1287138471332,0.0053786201344776,0.00439758162593792
"Pre-consumer processes","HDPE","Subsurface soil (MP)",3.62530077853538e-05,3.87462524914488e-05,92.6021181950752,22.1287138471332,0.00622608335344471,0.0066542726350787
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,92.6021181950752,22.1287138471332,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,92.6021181950752,22.1287138471332,0,0
"Pre-consumer processes","PP","Soil",0,0,138.915166166051,28.2036170186642,0,0
"Pre-consumer processes","PP","Soil (MP)",0.00490676320510481,0.00453668140874065,138.915166166051,28.2036170186642,0.842686402504243,0.779128638541639
"Pre-consumer processes","PP","Fresh water",0,0,138.915166166051,28.2036170186642,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.00010609945116261,0.000113503101307348,138.915166166051,28.2036170186642,0.0182214957336594,0.0194929969341613
"Pre-consumer processes","PP","Subsurface soil (MP)",0.000194997907801837,0.000205134484040742,138.915166166051,28.2036170186642,0.0334888965602476,0.035229749869734
"Pre-consumer processes","PP","Coastal and ocean water",0,0,138.915166166051,28.2036170186642,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0,138.915166166051,28.2036170186642,0,0
"Pre-consumer processes","PS","Soil",0,0,32.4859323299282,7.96235896272825,0,0
"Pre-consumer processes","PS","Soil (MP)",0.00129262858752831,0.00118747233042473,32.4859323299282,7.96235896272825,0.221995741116084,0.203936229316688
"Pre-consumer processes","PS","Fresh water",0,0,32.4859323299282,7.96235896272825,0,0
"Pre-consumer processes","PS","Fresh water (MP)",5.36678709118672e-06,3.76026823860248e-06,32.4859323299282,7.96235896272825,0.000921690800602175,0.00064578761639491
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,32.4859323299282,7.96235896272825,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,32.4859323299282,7.96235896272825,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0,32.4859323299282,7.96235896272825,0,0
"Pre-consumer processes","EPS","Soil",0,0,32.1324268857584,11.105951235438,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.00129433077054065,0.00120924109962234,32.1324268857584,11.105951235438,0.22228807364144,0.207674792812681
"Pre-consumer processes","EPS","Fresh water",0,0,32.1324268857584,11.105951235438,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",5.27632942822492e-06,3.76299949689916e-06,32.1324268857584,11.105951235438,0.000906155622034577,0.000646256682076732
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,32.1324268857584,11.105951235438,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,32.1324268857584,11.105951235438,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",0,0,32.1324268857584,11.105951235438,0,0
"Pre-consumer processes","PVC","Soil",0,0,78.3197406010238,21.5156148430201,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.00312545777488066,0.00290936252804574,78.3197406010238,21.5156148430201,0.536765411005164,0.499653262213443
