"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,79.5541720802258,21.1102675932017,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.00344951084134857,0.00286557066986859,79.5541720802258,21.1102675932017,0.325039459388247,0.270016122346426
"Pre-consumer processes","LDPE","Fresh water",0,0,79.5541720802258,21.1102675932017,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.28922127392586e-05,3.86104985758171e-06,79.5541720802258,21.1102675932017,0.00121480350455968,0.000363817832759379
"Pre-consumer processes","LDPE","Subsurface soil (MP)",3.7575013601273e-06,3.75426549188595e-06,79.5541720802258,21.1102675932017,0.000354060696405553,0.000353755787996159
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,79.5541720802258,21.1102675932017,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",1.10214926678858e-05,8.65433220869588e-06,79.5541720802258,21.1102675932017,0.00103852986211244,0.000815477785650637
"Pre-consumer processes","HDPE","Soil",0,0,109.925973974211,27.0534660517333,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00429780932765089,0.00398281889547151,109.925973974211,27.0534660517333,0.404972671391076,0.375291848660851
"Pre-consumer processes","HDPE","Fresh water",0,0,109.925973974211,27.0534660517333,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",1.38925345260615e-05,6.59059329269004e-06,109.925973974211,27.0534660517333,0.0013090615219282,0.000621016422162133
"Pre-consumer processes","HDPE","Subsurface soil (MP)",2.14383635213115e-05,2.18597813756876e-05,109.925973974211,27.0534660517333,0.00202008760361268,0.00205979683714256
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,109.925973974211,27.0534660517333,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",8.39718123829842e-06,9.33894456555173e-06,109.925973974211,27.0534660517333,0.000791247042150067,0.000879987230785747
"Pre-consumer processes","PP","Soil",0,0,167.260583125639,34.4350241836106,0,0
"Pre-consumer processes","PP","Soil (MP)",0.00583980938188222,0.00543249125918356,167.260583125639,34.4350241836106,0.550271783948163,0.511891135650432
"Pre-consumer processes","PP","Fresh water",0,0,167.260583125639,34.4350241836106,0,0
"Pre-consumer processes","PP","Fresh water (MP)",6.92644789113933e-05,5.49759663499637e-05,167.260583125639,34.4350241836106,0.0065266322721184,0.00518025865219566
"Pre-consumer processes","PP","Subsurface soil (MP)",0.000254907102827733,0.000258137108275009,167.260583125639,34.4350241836106,0.0240193090290329,0.0243236650008474
"Pre-consumer processes","PP","Coastal and ocean water",0,0,167.260583125639,34.4350241836106,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",1.87169801301923e-05,4.82181682244005e-05,167.260583125639,34.4350241836106,0.00176365791635543,0.00454348690384852
"Pre-consumer processes","PS","Soil",0,0,39.5553150343214,9.66141668896796,0,0
"Pre-consumer processes","PS","Soil (MP)",0.00156509867865578,0.00146331971673482,39.5553150343214,9.66141668896796,0.147475642720593,0.137885245623318
"Pre-consumer processes","PS","Fresh water",0,0,39.5553150343214,9.66141668896796,0,0
"Pre-consumer processes","PS","Fresh water (MP)",3.34568761854573e-06,1.62670242579877e-06,39.5553150343214,9.66141668896796,0.000315256436297765,0.000153280421887432
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,39.5553150343214,9.66141668896796,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,39.5553150343214,9.66141668896796,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",2.86588741638355e-06,3.04682402320283e-06,39.5553150343214,9.66141668896796,0.000270045968640792,0.000287095208248658
"Pre-consumer processes","EPS","Soil",0,0,39.0127770834925,13.4111107396981,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.00156857124339697,0.00143066261308391,39.0127770834925,13.4111107396981,0.147802854495851,0.134808041983707
"Pre-consumer processes","EPS","Fresh water",0,0,39.0127770834925,13.4111107396981,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",3.28561047378218e-06,1.61137693769347e-06,39.0127770834925,13.4111107396981,0.000309595505356061,0.000151836336451058
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,39.0127770834925,13.4111107396981,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,39.0127770834925,13.4111107396981,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",2.79368792880677e-06,2.95078376272477e-06,39.0127770834925,13.4111107396981,0.000263242777263984,0.000278045555767179
"Pre-consumer processes","PVC","Soil",0,0,94.1863059676055,25.9499017949164,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.00421060572141078,0.00346647025766212,94.1863059676055,25.9499017949164,0.396755676480021,0.326637506115341
"Pre-consumer processes","PVC","Fresh water",0,0,94.1863059676055,25.9499017949164,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",1.61614417937985e-05,4.64350624192648e-06,94.1863059676055,25.9499017949164,0.00152285542652105,0.000437546895185774
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,94.1863059676055,25.9499017949164,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,94.1863059676055,25.9499017949164,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",1.47754280702359e-05,1.16482411086364e-05,94.1863059676055,25.9499017949164,0.00139225454653212,0.00109758692374336
"Pre-consumer processes","PET","Soil",0,0,107.151006743916,28.8229116062621,0,0
"Pre-consumer processes","PET","Soil (MP)",0.00276394063493033,0.00257499007043985,107.151006743916,28.8229116062621,0.260439758295625,0.242635381919445
"Pre-consumer processes","PET","Fresh water",0,0,107.151006743916,28.8229116062621,0,0
"Pre-consumer processes","PET","Fresh water (MP)",0.000119097006378073,0.000106989504964706,107.151006743916,28.8229116062621,0.0112222365281083,0.0100813745639219
"Pre-consumer processes","PET","Subsurface soil (MP)",0.000511975486832216,0.000510008536333857,107.151006743916,28.8229116062621,0.0482422706040605,0.0480569293901798
"Pre-consumer processes","PET","Coastal and ocean water",0,0,107.151006743916,28.8229116062621,0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",1.97616777743386e-05,8.70760825565414e-05,107.151006743916,28.8229116062621,0.00186209736852562,0.00820497864814932
"ConsumerFilms","LDPE","Soil",0.0580686196813799,0.0516989812643959,12.0246358999738,5.13180313194291,5.47167225057292,4.87147589729935
"ConsumerFilms","LDPE","Soil (MP)",0.000185460978187654,0.000149806166680531,12.0246358999738,5.13180313194291,0.0174755606983869,0.0141158899537852
"ConsumerFilms","LDPE","Fresh water",0.000310452478959863,0.000386200340355555,12.0246358999738,5.13180313194291,0.0292532218531613,0.036390768319966
"ConsumerFilms","LDPE","Fresh water (MP)",0,0,12.0246358999738,5.13180313194291,0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0,12.0246358999738,5.13180313194291,0,0
"ConsumerFilms","LDPE","Coastal and ocean water",0.00297303720726318,0.0031430261067204,12.0246358999738,5.13180313194291,0.280142446577201,0.296160108942331
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0,12.0246358999738,5.13180313194291,0,0
"ConsumerFilms","HDPE","Soil",0.0691897639724715,0.0646427030730575,5.55483211629575,2.38898728456974,6.5195920555566,6.09113298279915
"ConsumerFilms","HDPE","Soil (MP)",8.54666764057179e-05,7.00436605403231e-05,5.55483211629575,2.38898728456974,0.00805332801440457,0.00660005276188662
"ConsumerFilms","HDPE","Fresh water",0.000396524697449701,0.000499529197591372,5.55483211629575,2.38898728456974,0.037363608703068,0.0470694854434107
"ConsumerFilms","HDPE","Fresh water (MP)",0,0,5.55483211629575,2.38898728456974,0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0,5.55483211629575,2.38898728456974,0,0
"ConsumerFilms","HDPE","Coastal and ocean water",0.00374400262275681,0.00400336946949835,5.55483211629575,2.38898728456974,0.35278874148234,0.377228281905743
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0,5.55483211629575,2.38898728456974,0,0
"ConsumerFilms","PP","Soil",0.160911613160687,0.146537002207038,19.1334670635615,8.08770440949679,15.16233059021,13.807844117147
"ConsumerFilms","PP","Soil (MP)",0.000295685405548353,0.000238264481982169,19.1334670635615,8.08770440949679,0.027861754546873,0.0224511132090334
"ConsumerFilms","PP","Fresh water",0.000901315357088635,0.0011370907217385,19.1334670635615,8.08770440949679,0.0849288695935455,0.107145439010936
"ConsumerFilms","PP","Fresh water (MP)",0,0,19.1334670635615,8.08770440949679,0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0,19.1334670635615,8.08770440949679,0,0
"ConsumerFilms","PP","Coastal and ocean water",0.00846678363703714,0.00894791000308243,19.1334670635615,8.08770440949679,0.797805515828994,0.843140944853376
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0,19.1334670635615,8.08770440949679,0,0
"ConsumerFilms","PS","Soil",0.00761868353074218,0.00705164882019152,0.851928834783684,0.366855394493212,0.717890996717218,0.664460622310943
"ConsumerFilms","PS","Soil (MP)",1.30799182725173e-05,1.06580110471601e-05,0.851928834783684,0.366855394493212,0.00123249056451128,0.00100427982640244
"ConsumerFilms","PS","Fresh water",4.20672668002969e-05,5.41588728833454e-05,0.851928834783684,0.366855394493212,0.00396390163347451,0.00510326581730562
"ConsumerFilms","PS","Fresh water (MP)",0,0,0.851928834783684,0.366855394493212,0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0,0.851928834783684,0.366855394493212,0,0
"ConsumerFilms","PS","Coastal and ocean water",0.000398613963769153,0.000427377142824325,0.851928834783684,0.366855394493212,0.0375604754549717,0.0402707635509862
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0,0.851928834783684,0.366855394493212,0,0
"ConsumerFilms","EPS","Soil",0,0,0,0,0,0
"ConsumerFilms","EPS","Soil (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Fresh water",0,0,0,0,0,0
"ConsumerFilms","EPS","Fresh water (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Coastal and ocean water",0,0,0,0,0,0
"ConsumerFilms","EPS","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerFilms","PVC","Soil",0.0168471402572024,0.0154141460443631,1.86493150676876,0.782595111280144,1.58746721297395,1.45243946971697
"ConsumerFilms","PVC","Soil (MP)",2.86748617568525e-05,2.30816809247421e-05,1.86493150676876,0.782595111280144,0.00270196616046472,0.00217493361656377
"ConsumerFilms","PVC","Fresh water",9.49256007098332e-05,0.000119365937149226,1.86493150676876,0.782595111280144,0.00894462065953858,0.011247577255095
"ConsumerFilms","PVC","Fresh water (MP)",0,0,1.86493150676876,0.782595111280144,0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0,1.86493150676876,0.782595111280144,0,0
"ConsumerFilms","PVC","Coastal and ocean water",0.000893388326519016,0.000941004999633637,1.86493150676876,0.782595111280144,0.0841819237657435,0.0886687331711585
