"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,466.901570000292,118.17612253312,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.118502627608072,0.049940146083163,466.901570000292,118.17612253312,2.50438527386636,1.05541428869455
"Pre-consumer processes","LDPE","Fresh water",0,0,466.901570000292,118.17612253312,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.00277544688036965,0.00143792016341735,466.901570000292,118.17612253312,0.0586551406993663,0.0303884070332009
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0,466.901570000292,118.17612253312,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,466.901570000292,118.17612253312,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0.00037355197130251,0.000412686769375795,466.901570000292,118.17612253312,0.00789449208711073,0.00872155064242493
"Pre-consumer processes","HDPE","Soil",0,0,605.630630245908,148.210909601283,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.06633752192968,0.027748745509887,605.630630245908,148.210909601283,1.40194961393548,0.586430453281298
"Pre-consumer processes","HDPE","Fresh water",0,0,605.630630245908,148.210909601283,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.00153289077269577,0.0008127606539169,605.630630245908,148.210909601283,0.0323954764132455,0.017176545819553
"Pre-consumer processes","HDPE","Subsurface soil (MP)",9.31650229346987e-05,8.23196369346459e-05,605.630630245908,148.210909601283,0.00196891086878472,0.00173970898916261
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,605.630630245908,148.210909601283,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0.000221197079794557,0.000221544658842299,605.630630245908,148.210909601283,0.00467468713935922,0.00468203273047598
"Pre-consumer processes","PP","Soil",0,0,950.996769300697,189.250881013136,0,0
"Pre-consumer processes","PP","Soil (MP)",0.146845330583746,0.0579298846936528,950.996769300697,189.250881013136,3.10336817733922,1.22426610339295
"Pre-consumer processes","PP","Fresh water",0,0,950.996769300697,189.250881013136,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.0036147959595307,0.00193911781165502,950.996769300697,189.250881013136,0.076393595246015,0.0409805097981641
"Pre-consumer processes","PP","Subsurface soil (MP)",0.00391232673459633,0.00347676120249344,950.996769300697,189.250881013136,0.082681486971596,0.0734764260677147
"Pre-consumer processes","PP","Coastal and ocean water",0,0,950.996769300697,189.250881013136,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0.00147597090025457,0.00144636888342797,950.996769300697,189.250881013136,0.031192555488964,0.0305669587700249
"Pre-consumer processes","PS","Soil",0,0,217.746999143426,52.8100414707529,0,0
"Pre-consumer processes","PS","Soil (MP)",0.021354108899029,0.0092078743455424,217.746999143426,52.8100414707529,0.451288861206854,0.194595388980365
"Pre-consumer processes","PS","Fresh water",0,0,217.746999143426,52.8100414707529,0,0
"Pre-consumer processes","PS","Fresh water (MP)",0.000468160040799997,0.000246289404121126,217.746999143426,52.8100414707529,0.00989389970212207,0.0052049778915472
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,217.746999143426,52.8100414707529,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,217.746999143426,52.8100414707529,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",6.23363822985979e-05,7.02425330437416e-05,217.746999143426,52.8100414707529,0.00131739119212643,0.00148447649562359
