"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,5347.22103663853,438.642847881375,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.865443044840137,0.123623386517371,5347.22103663853,438.642847881375,1.63933537920978,0.234169299093606
"Pre-consumer processes","LDPE","Fresh water",0,0,5347.22103663853,438.642847881375,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.0166612719225938,0.00276242843249399,5347.22103663853,438.642847881375,0.0315600346992074,0.00523263395427588
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0.000173132099390638,0.000110349039118455,5347.22103663853,438.642847881375,0.000327949456061969,0.000209024828343385
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,5347.22103663853,438.642847881375,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0.00373601645860066,0.00179614298515174,5347.22103663853,438.642847881375,0.00707681920192147,0.00340228136240047
"Pre-consumer processes","HDPE","Soil",0,0,7313.90863581694,553.679615133544,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.959458613828126,0.142794936381641,7313.90863581694,553.679615133544,1.81742109999457,0.270484340452091
"Pre-consumer processes","HDPE","Fresh water",0,0,7313.90863581694,553.679615133544,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.0199843678570073,0.00400161179595874,7313.90863581694,553.679615133544,0.0378546935635565,0.00757991392973763
"Pre-consumer processes","HDPE","Subsurface soil (MP)",0.00164810926647512,0.000425102588877762,7313.90863581694,553.679615133544,0.00312187364084162,0.000805235789802563
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,7313.90863581694,553.679615133544,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0.00279245923232083,0.00110739911677593,7313.90863581694,553.679615133544,0.00528951875208623,0.00209765225090206
"Pre-consumer processes","PP","Soil",0,0,11273.3603577829,706.308975274342,0,0
"Pre-consumer processes","PP","Soil (MP)",1.622636857974,0.203386526664486,11273.3603577829,706.308975274342,3.07362341721509,0.385257852383889
"Pre-consumer processes","PP","Fresh water",0,0,11273.3603577829,706.308975274342,0,0
