"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,63.5814721407408,18.386664757788,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.0526324343212113,0.0288235242978255,63.5814721407408,18.386664757788,9.52572901508396,5.21665177113274
"Pre-consumer processes","LDPE","Fresh water",0,0,63.5814721407408,18.386664757788,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.00129024189599307,0.000833323349788333,63.5814721407408,18.386664757788,0.23351560351798,0.150819784689811
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0,63.5814721407408,18.386664757788,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,63.5814721407408,18.386664757788,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,63.5814721407408,18.386664757788,0,0
"Pre-consumer processes","HDPE","Soil",0,0,64.3023824654962,15.2930248154378,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.0116394791084317,0.00471459853634734,64.3023824654962,15.2930248154378,2.10658171702631,0.853275905843047
"Pre-consumer processes","HDPE","Fresh water",0,0,64.3023824654962,15.2930248154378,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.000284861411121573,0.000147492922224603,64.3023824654962,15.2930248154378,0.051555901682947,0.0266941407304091
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.2171754118947e-05,1.18164736767604e-05,64.3023824654962,15.2930248154378,0.00220291599411343,0.00213861524001997
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,64.3023824654962,15.2930248154378,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,64.3023824654962,15.2930248154378,0,0
"Pre-consumer processes","PP","Soil",0,0,100.909935359312,19.9315501996655,0,0
"Pre-consumer processes","PP","Soil (MP)",0.0222723616700459,0.00810031986913892,100.909935359312,19.9315501996655,4.03098364213981,1.4660437618752
"Pre-consumer processes","PP","Fresh water",0,0,100.909935359312,19.9315501996655,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.000610254475311715,0.000284769454446161,100.909935359312,19.9315501996655,0.11044746147565,0.0515392588203775
"Pre-consumer processes","PP","Subsurface soil (MP)",0.000421060629836293,0.00040943720597619,100.909935359312,19.9315501996655,0.076206041207649,0.0741023652643497
"Pre-consumer processes","PP","Coastal and ocean water",0,0,100.909935359312,19.9315501996655,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0,100.909935359312,19.9315501996655,0,0
"Pre-consumer processes","PS","Soil",0,0,22.3799158931262,5.42975969019956,0,0
"Pre-consumer processes","PS","Soil (MP)",0.00114705209427952,0.000818979365438298,22.3799158931262,5.42975969019956,0.207600266968609,0.148223725630844
"Pre-consumer processes","PS","Fresh water",0,0,22.3799158931262,5.42975969019956,0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.15849565903241e-05,5.38604456368811e-06,22.3799158931262,5.42975969019956,0.00209671390947739,0.000974798176039945
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,22.3799158931262,5.42975969019956,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,22.3799158931262,5.42975969019956,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0,22.3799158931262,5.42975969019956,0,0
"Pre-consumer processes","EPS","Soil",0,0,26.8847077650262,8.27927110208148,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.0146740333380524,0.00594450226851842,26.8847077650262,8.27927110208148,2.65579327536942,1.07587115188092
"Pre-consumer processes","EPS","Fresh water",0,0,26.8847077650262,8.27927110208148,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",0.000353992585732717,0.000183723326999102,26.8847077650262,8.27927110208148,0.0640676702213598,0.0332513335040214
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,26.8847077650262,8.27927110208148,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,26.8847077650262,8.27927110208148,0,0
