"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,655.093970436936,166.799372463275,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.161643312477366,0.0665877219920818,655.093970436936,166.799372463275,2.39565089604186,0.986870000440342
"Pre-consumer processes","LDPE","Fresh water",0,0,655.093970436936,166.799372463275,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.00203315420696305,0.000622415487423873,655.093970436936,166.799372463275,0.0301325654804577,0.00922457104661304
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0,655.093970436936,166.799372463275,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,655.093970436936,166.799372463275,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0.00191437016775861,0.00156657854109535,655.093970436936,166.799372463275,0.0283721147349594,0.0232176341116527
"Pre-consumer processes","HDPE","Soil",0,0,849.829468995192,210.888779232763,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.0428764986430697,0.0297796011376042,849.829468995192,210.888779232763,0.635455440866386,0.441351560146112
"Pre-consumer processes","HDPE","Fresh water",0,0,849.829468995192,210.888779232763,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.000246356892042255,7.44933887798778e-05,849.829468995192,210.888779232763,0.00365115698337199,0.00110403672657165
"Pre-consumer processes","HDPE","Subsurface soil (MP)",0.000129624804036921,0.000131780175799922,849.829468995192,210.888779232763,0.00192111738605816,0.0019530612890641
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,849.829468995192,210.888779232763,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0.000239688241686658,0.000163238125695135,849.829468995192,210.888779232763,0.00355232358312222,0.00241928698500596
"Pre-consumer processes","PP","Soil",0,0,1323.6381938394,265.943848104323,0,0
"Pre-consumer processes","PP","Soil (MP)",0.189088079841057,0.0698354333841766,1323.6381938394,265.943848104323,2.80239881848186,1.03500303228258
"Pre-consumer processes","PP","Fresh water",0,0,1323.6381938394,265.943848104323,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.00265681933031043,0.000993284149111852,1323.6381938394,265.943848104323,0.0393756568813867,0.0147210671779396
"Pre-consumer processes","PP","Subsurface soil (MP)",0.00376132752979832,0.00366871170300495,1323.6381938394,265.943848104323,0.0557451312334991,0.054372509099959
"Pre-consumer processes","PP","Coastal and ocean water",0,0,1323.6381938394,265.943848104323,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0.00283571336568533,0.00206554991143124,1323.6381938394,265.943848104323,0.0420269738432463,0.030612689261935
"Pre-consumer processes","PS","Soil",0,0,314.067176080939,74.4007857239789,0,0
"Pre-consumer processes","PS","Soil (MP)",0.0515467091645557,0.0211891814422557,314.067176080939,74.4007857239789,0.763953163947742,0.314036384992057
