"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,19.2306645382165,5.06099919293966,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.000752729778062314,0.000686857494137516,19.2306645382165,5.06099919293966,0.19136333368899,0.174616899288579
"Pre-consumer processes","LDPE","Fresh water",0,0,19.2306645382165,5.06099919293966,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",4.01459003349866e-06,3.05135729425299e-06,19.2306645382165,5.06099919293966,0.00102061238255052,0.00077573376412396
"Pre-consumer processes","LDPE","Subsurface soil (MP)",2.54021439154854e-06,2.62928600047809e-06,19.2306645382165,5.06099919293966,0.000645788048272532,0.000668432349745073
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,19.2306645382165,5.06099919293966,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",6.43874152173898e-07,8.58294636419217e-07,19.2306645382165,5.06099919293966,0.00016368942458122,0.000218200644772372
"Pre-consumer processes","HDPE","Soil",0,0,26.4280624979547,6.37608200371569,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00105556935780383,0.000964694088815596,26.4280624979547,6.37608200371569,0.268352969599888,0.245250131197191
"Pre-consumer processes","HDPE","Fresh water",0,0,26.4280624979547,6.37608200371569,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",7.00211694593804e-06,6.2394300853791e-06,26.4280624979547,6.37608200371569,0.00178011881648177,0.00158622413548077
"Pre-consumer processes","HDPE","Subsurface soil (MP)",6.35434031184201e-06,6.69171524198603e-06,26.4280624979547,6.37608200371569,0.00161543728029285,0.00170120669345682
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,26.4280624979547,6.37608200371569,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",8.8258513715618e-07,1.2321806199518e-06,26.4280624979547,6.37608200371569,0.000224375916873292,0.000313252109871258
"Pre-consumer processes","PP","Soil",0,0,40.1395917912006,8.25858517024747,0,0
"Pre-consumer processes","PP","Soil (MP)",0.00157074517265547,0.00133721475287114,40.1395917912006,8.25858517024747,0.399323955787965,0.339954496853101
"Pre-consumer processes","PP","Fresh water",0,0,40.1395917912006,8.25858517024747,0,0
"Pre-consumer processes","PP","Fresh water (MP)",3.57476358250987e-05,4.72971221224136e-05,40.1395917912006,8.25858517024747,0.00908797149038066,0.0120241489403268
"Pre-consumer processes","PP","Subsurface soil (MP)",5.64355733171475e-05,5.85449560070509e-05,40.1395917912006,8.25858517024747,0.0143473790507126,0.0148836385628643
"Pre-consumer processes","PP","Coastal and ocean water",0,0,40.1395917912006,8.25858517024747,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",1.20033782764605e-06,1.60753516263029e-06,40.1395917912006,8.25858517024747,0.000305156850367535,0.000408676920601033
"Pre-consumer processes","PS","Soil",0,0,9.41136014129162,2.3279881263837,0,0
"Pre-consumer processes","PS","Soil (MP)",0.000378549596862183,0.000342967665261205,9.41136014129162,2.3279881263837,0.0962370759512769,0.0871912307506459
"Pre-consumer processes","PS","Fresh water",0,0,9.41136014129162,2.3279881263837,0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.2950032994574e-06,9.14769841686549e-07,9.41136014129162,2.3279881263837,0.000329223256133618,0.00023255809928752
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,9.41136014129162,2.3279881263837,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,9.41136014129162,2.3279881263837,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",3.21138215144369e-07,4.3872612537755e-07,9.41136014129162,2.3279881263837,8.1641621224491e-05,0.000111535502348297
"Pre-consumer processes","EPS","Soil",0,0,9.3146865737905,3.2496292289236,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.000374308807029342,0.000346064596366593,9.3146865737905,3.2496292289236,0.0951589577426738,0.0879785505535878
"Pre-consumer processes","EPS","Fresh water",0,0,9.3146865737905,3.2496292289236,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",1.27613078801023e-06,9.05186356544314e-07,9.3146865737905,3.2496292289236,0.000324425376720754,0.000230121730063629
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,9.3146865737905,3.2496292289236,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,9.3146865737905,3.2496292289236,0,0
