"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,133.03429321743,35.4754446726607,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.0187652933548271,0.0076190677269677,133.03429321743,35.4754446726607,1.9366874971956,0.786332136039278
"Pre-consumer processes","LDPE","Fresh water",0,0,133.03429321743,35.4754446726607,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.000472714085121701,0.000246987912618576,133.03429321743,35.4754446726607,0.0487868450065,0.0254905901699527
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0,133.03429321743,35.4754446726607,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,133.03429321743,35.4754446726607,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,133.03429321743,35.4754446726607,0,0
"Pre-consumer processes","HDPE","Soil",0,0,194.512197611783,45.966856387486,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.047708196493024,0.0191109907588864,194.512197611783,45.966856387486,4.92376356258896,1.97236548141866
"Pre-consumer processes","HDPE","Fresh water",0,0,194.512197611783,45.966856387486,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.00121496032731062,0.000637260707943337,194.512197611783,45.966856387486,0.125390977428332,0.0657690142216936
"Pre-consumer processes","HDPE","Subsurface soil (MP)",7.05185312317092e-05,6.18032092533634e-05,194.512197611783,45.966856387486,0.00727792287467317,0.00637845091916789
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,194.512197611783,45.966856387486,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,194.512197611783,45.966856387486,0,0
"Pre-consumer processes","PP","Soil",0,0,288.464297260933,58.1769865355134,0,0
"Pre-consumer processes","PP","Soil (MP)",0.0495130492251548,0.0176161578744285,288.464297260933,58.1769865355134,5.11003486965052,1.81809002710067
"Pre-consumer processes","PP","Fresh water",0,0,288.464297260933,58.1769865355134,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.00142098183877821,0.000757959028795783,288.464297260933,58.1769865355134,0.146653596555466,0.0782257834555892
"Pre-consumer processes","PP","Subsurface soil (MP)",0.00131037225894645,0.00115420003595314,288.464297260933,58.1769865355134,0.1352380441162,0.1191201617063
"Pre-consumer processes","PP","Coastal and ocean water",0,0,288.464297260933,58.1769865355134,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0,288.464297260933,58.1769865355134,0,0
