"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,87.0442808517975,23.4646370906907,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.0034686176389182,0.00323974789308927,87.0442808517975,23.4646370906907,0.691979738841758,0.646320850075662
"Pre-consumer processes","LDPE","Fresh water",0,0,87.0442808517975,23.4646370906907,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.63006865349882e-05,1.01478428911058e-05,87.0442808517975,23.4646370906907,0.0032519424121191,0.00202446692157879
"Pre-consumer processes","LDPE","Subsurface soil (MP)",7.7916323769921e-06,7.88158598840954e-06,87.0442808517975,23.4646370906907,0.00155440936380164,0.00157235486342608
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,87.0442808517975,23.4646370906907,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",9.69731734383049e-07,2.61303600209398e-06,87.0442808517975,23.4646370906907,0.000193458830623439,0.000521293540696241
"Pre-consumer processes","HDPE","Soil",0,0,133.459178711166,31.2944611418564,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.042172897083083,0.017569482303438,133.459178711166,31.2944611418564,8.41337770480051,3.5050637001632
"Pre-consumer processes","HDPE","Fresh water",0,0,133.459178711166,31.2944611418564,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.00108648013292027,0.00055699438805617,133.459178711166,31.2944611418564,0.2167498170451,0.11111885808885
"Pre-consumer processes","HDPE","Subsurface soil (MP)",5.10999859647607e-05,4.67876387308913e-05,133.459178711166,31.2944611418564,0.0101943075379565,0.00933400605092991
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,133.459178711166,31.2944611418564,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",3.49628897829436e-05,9.9654131132419e-05,133.459178711166,31.2944611418564,0.00697500095418418,0.0198807267949605
"Pre-consumer processes","PP","Soil",0,0,236.001171929275,43.6397637926514,0,0
"Pre-consumer processes","PP","Soil (MP)",0.116849307618907,0.0457348881339504,236.001171929275,43.6397637926514,23.3111175076622,9.12398518412606
"Pre-consumer processes","PP","Fresh water",0,0,236.001171929275,43.6397637926514,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.00377544260967138,0.00195822349291704,236.001171929275,43.6397637926514,0.753190481919839,0.390660234791732
"Pre-consumer processes","PP","Subsurface soil (MP)",0.00278752221093024,0.00251522658267284,236.001171929275,43.6397637926514,0.556103062468628,0.501780828845877
"Pre-consumer processes","PP","Coastal and ocean water",0,0,236.001171929275,43.6397637926514,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0.000284298114387193,0.00076578252320464,236.001171929275,43.6397637926514,0.0567166968014988,0.152771520409497
"Pre-consumer processes","PS","Soil",0,0,50.7663394151612,11.7927958725619,0,0
"Pre-consumer processes","PS","Soil (MP)",0.0230024847822988,0.0095504915642983,50.7663394151612,11.7927958725619,4.58893284568862,1.9052969645091
"Pre-consumer processes","PS","Fresh water",0,0,50.7663394151612,11.7927958725619,0,0
"Pre-consumer processes","PS","Fresh water (MP)",0.00058681777921067,0.000306532860199246,50.7663394151612,11.7927958725619,0.117068543113488,0.0611524678209403
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,50.7663394151612,11.7927958725619,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,50.7663394151612,11.7927958725619,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",1.67745239500803e-05,4.85718539455285e-05,50.7663394151612,11.7927958725619,0.00334647168137898,0.00968995210978903
"Pre-consumer processes","EPS","Soil",0,0,42.9706879231244,14.8589582526694,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.00224661591083808,0.00151777329034111,42.9706879231244,14.8589582526694,0.448193733958042,0.302791623177814
"Pre-consumer processes","EPS","Fresh water",0,0,42.9706879231244,14.8589582526694,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",2.69850621510954e-05,1.26166218655305e-05,42.9706879231244,14.8589582526694,0.00538344614593132,0.00251698157952569
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,42.9706879231244,14.8589582526694,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,42.9706879231244,14.8589582526694,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",7.61908851948952e-07,2.27167325675086e-06,42.9706879231244,14.8589582526694,0.000151998733581166,0.000453192605983093
"Pre-consumer processes","PVC","Soil",0,0,106.556207565351,28.3764812748291,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.0161965122311501,0.0068587478702638,106.556207565351,28.3764812748291,3.23115992322349,1.3683014543877
"Pre-consumer processes","PVC","Fresh water",0,0,106.556207565351,28.3764812748291,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",0.000410830372134121,0.000215437693653623,106.556207565351,28.3764812748291,0.0819595363951084,0.042979231068432
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,106.556207565351,28.3764812748291,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,106.556207565351,28.3764812748291,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",1.18761848692012e-05,3.30595309103736e-05,106.556207565351,28.3764812748291,0.00236926642245565,0.00659528606120049
"Pre-consumer processes","PET","Soil",0,0,127.451304550766,31.9494037083703,0,0
"Pre-consumer processes","PET","Soil (MP)",0.0356419744540906,0.0143130204376722,127.451304550766,31.9494037083703,7.11047649006316,2.85540845821973
"Pre-consumer processes","PET","Fresh water",0,0,127.451304550766,31.9494037083703,0,0
"Pre-consumer processes","PET","Fresh water (MP)",0.00106589600881473,0.000524959342862725,127.451304550766,31.9494037083703,0.212643340544773,0.104727954128142
"Pre-consumer processes","PET","Subsurface soil (MP)",0.000544423295200999,0.000483504994917497,127.451304550766,31.9494037083703,0.108610959422455,0.096457925012468
"Pre-consumer processes","PET","Coastal and ocean water",0,0,127.451304550766,31.9494037083703,0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",6.46332625617834e-05,0.000176711707225127,127.451304550766,31.9494037083703,0.0128941592310943,0.0352535026184268
"ConsumerFilms","LDPE","Soil",0.0314598263976566,0.0262222088818237,13.0988318596922,5.63811935915241,6.27614938308595,5.2312590036755
"ConsumerFilms","LDPE","Soil (MP)",0.00165193835234375,0.00134173774738878,13.0988318596922,5.63811935915241,0.329557186359125,0.267673013483777
"ConsumerFilms","LDPE","Fresh water",0.000812092174865693,0.000951530684459684,13.0988318596922,5.63811935915241,0.162010169346386,0.189827770909246
"ConsumerFilms","LDPE","Fresh water (MP)",0,0,13.0988318596922,5.63811935915241,0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0,13.0988318596922,5.63811935915241,0,0
"ConsumerFilms","LDPE","Coastal and ocean water",0.00015786970537729,0.000152225541121614,13.0988318596922,5.63811935915241,0.0314945747470953,0.0303685794042242
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0,13.0988318596922,5.63811935915241,0,0
"ConsumerFilms","HDPE","Soil",0.0351814329962402,0.0325934849981636,6.17447855438577,2.64251030475759,7.01859972793365,6.50231117547055
"ConsumerFilms","HDPE","Soil (MP)",0.000780877126976158,0.000628162378908767,6.17447855438577,2.64251030475759,0.155782852606663,0.125316677753814
"ConsumerFilms","HDPE","Fresh water",0.00102825380109994,0.00119335824397087,6.17447855438577,2.64251030475759,0.205133822986064,0.238071708089787
"ConsumerFilms","HDPE","Fresh water (MP)",0,0,6.17447855438577,2.64251030475759,0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0,6.17447855438577,2.64251030475759,0,0
"ConsumerFilms","HDPE","Coastal and ocean water",0.000201874937147808,0.00020296955423263,6.17447855438577,2.64251030475759,0.0402734982140621,0.0404918713307725
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0,6.17447855438577,2.64251030475759,0,0
"ConsumerFilms","PP","Soil",0.0836323385764884,0.0735692532747787,21.0779221809828,8.87461043331197,16.6844229694148,14.6768649552685
"ConsumerFilms","PP","Soil (MP)",0.00264326379503219,0.00208932530590834,21.0779221809828,8.87461043331197,0.527323902771453,0.416814688167485
"ConsumerFilms","PP","Fresh water",0.00233765179628466,0.00276508820662488,21.0779221809828,8.87461043331197,0.466355144293312,0.551627539924368
"ConsumerFilms","PP","Fresh water (MP)",0,0,21.0779221809828,8.87461043331197,0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0,21.0779221809828,8.87461043331197,0,0
"ConsumerFilms","PP","Coastal and ocean water",0.000457724292996453,0.000468128814931508,21.0779221809828,8.87461043331197,0.0913147454407798,0.0933904191300939
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0,21.0779221809828,8.87461043331197,0,0
"ConsumerFilms","PS","Soil",0.00391032338550691,0.00353422338520521,0.930851685818056,0.400493102658143,0.780098828054684,0.705067905918129
"ConsumerFilms","PS","Soil (MP)",0.000117701376108547,9.50421953125876e-05,0.930851685818056,0.400493102658143,0.0234811028425461,0.0189606582038438
"ConsumerFilms","PS","Fresh water",0.000108490389946849,0.00012706884602688,0.930851685818056,0.400493102658143,0.0216435362779493,0.0253498874889038
"ConsumerFilms","PS","Fresh water (MP)",0,0,0.930851685818056,0.400493102658143,0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0,0.930851685818056,0.400493102658143,0,0
"ConsumerFilms","PS","Coastal and ocean water",2.13413420071491e-05,2.12925433691502e-05,0.930851685818056,0.400493102658143,0.00425753940213643,0.00424780420722782
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0,0.930851685818056,0.400493102658143,0,0
"ConsumerFilms","EPS","Soil",0,0,0,0,0,0
"ConsumerFilms","EPS","Soil (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Fresh water",0,0,0,0,0,0
"ConsumerFilms","EPS","Fresh water (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Coastal and ocean water",0,0,0,0,0,0
"ConsumerFilms","EPS","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerFilms","PVC","Soil",0.00855667535880225,0.00784224597152011,2.02439261056655,0.864950996156281,1.70703334772418,1.56450663757733
"ConsumerFilms","PVC","Soil (MP)",0.000255571081837533,0.000210126570331205,2.02439261056655,0.864950996156281,0.0509857323220551,0.0419196764815077
"ConsumerFilms","PVC","Fresh water",0.000236812726169302,0.000274666766757593,2.02439261056655,0.864950996156281,0.0472434916349403,0.0547952692729509
"ConsumerFilms","PVC","Fresh water (MP)",0,0,2.02439261056655,0.864950996156281,0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0,2.02439261056655,0.864950996156281,0,0
"ConsumerFilms","PVC","Coastal and ocean water",4.64543867241592e-05,4.50873837237584e-05,2.02439261056655,0.864950996156281,0.00926752318640212,0.00899480982399519
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0,2.02439261056655,0.864950996156281,0,0
"ConsumerFilms","PET","Soil",0.00953911743736834,0.00869682619905132,2.27519941301292,0.9823279613303,1.90302785727334,1.73499305730585
"ConsumerFilms","PET","Soil (MP)",0.000288904384236923,0.000235695414420246,2.27519941301292,0.9823279613303,0.0576356350470661,0.0470205909947423
"ConsumerFilms","PET","Fresh water",0.000266761369812854,0.000313108381281048,2.27519941301292,0.9823279613303,0.053218164188815,0.0624642663051206
"ConsumerFilms","PET","Fresh water (MP)",0,0,2.27519941301292,0.9823279613303,0,0
"ConsumerFilms","PET","Subsurface soil (MP)",0,0,2.27519941301292,0.9823279613303,0,0
"ConsumerFilms","PET","Coastal and ocean water",5.21401170622649e-05,5.17124488103951e-05,2.27519941301292,0.9823279613303,0.0104018108491132,0.0103164922017307
"ConsumerFilms","PET","Coastal and ocean water (MP)",0,0,2.27519941301292,0.9823279613303,0,0
"ConsumerBags","LDPE","Soil",0.00332871089680139,0.00292950313103379,1.07365960850401,0.465759000262705,0.664068726170328,0.584427867979449
"ConsumerBags","LDPE","Soil (MP)",0.00013576345128187,0.000111713730306979,1.07365960850401,0.465759000262705,0.0270844374739398,0.0222865838700433
"ConsumerBags","LDPE","Fresh water",9.15212567853268e-05,0.000109210801177534,1.07365960850401,0.465759000262705,0.0182582405907766,0.021787256349506
"ConsumerBags","LDPE","Fresh water (MP)",0,0,1.07365960850401,0.465759000262705,0,0
"ConsumerBags","LDPE","Subsurface soil (MP)",0,0,1.07365960850401,0.465759000262705,0,0
"ConsumerBags","LDPE","Coastal and ocean water",1.77588586304605e-05,1.79487106883909e-05,1.07365960850401,0.465759000262705,0.00354284375981736,0.00358071872648743
"ConsumerBags","LDPE","Coastal and ocean water (MP)",0,0,1.07365960850401,0.465759000262705,0,0
"ConsumerBags","HDPE","Soil",0.00769950163147535,0.00703568639349393,1.56518015290007,0.673767578432839,1.53602953187475,1.40360020617922
