"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,573.711083755477,152.263218556981,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.0745111581450707,0.0315391997177982,573.711083755477,152.263218556981,1.24931755802388,0.528813092621
"Pre-consumer processes","LDPE","Fresh water",0,0,573.711083755477,152.263218556981,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.00119052581483903,0.000502135369070233,573.711083755477,152.263218556981,0.019961370092561,0.00841922939733214
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0,573.711083755477,152.263218556981,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,573.711083755477,152.263218556981,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0.000813295077324888,0.000695068025180954,573.711083755477,152.263218556981,0.0136363981617106,0.0116541026806869
"Pre-consumer processes","HDPE","Soil",0,0,789.099898296564,192.982443221947,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.0793258347807466,0.0345710318369359,789.099898296564,192.982443221947,1.33004452841194,0.579647372931671
"Pre-consumer processes","HDPE","Fresh water",0,0,789.099898296564,192.982443221947,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.00120102933314038,0.000518942645208142,789.099898296564,192.982443221947,0.020137481028984,0.00870103450819576
"Pre-consumer processes","HDPE","Subsurface soil (MP)",0.000125767719416037,0.000110406419147288,789.099898296564,192.982443221947,0.00210872873285853,0.0018511680853316
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,789.099898296564,192.982443221947,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0.000838155406607081,0.000700608317614177,789.099898296564,192.982443221947,0.0140532276224745,0.0117469959437326
"Pre-consumer processes","PP","Soil",0,0,1220.64141837648,247.732848628642,0,0
"Pre-consumer processes","PP","Soil (MP)",0.13370062592726,0.0529005026253749,1220.64141837648,247.732848628642,2.2417386019487,0.886974896155758
"Pre-consumer processes","PP","Fresh water",0,0,1220.64141837648,247.732848628642,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.00240968868628786,0.0010893074929123,1220.64141837648,247.732848628642,0.0404028934738828,0.0182642574731251
"Pre-consumer processes","PP","Subsurface soil (MP)",0.00363404164511532,0.0032294465987395,1220.64141837648,247.732848628642,0.0609314382819442,0.054147653035409
"Pre-consumer processes","PP","Coastal and ocean water",0,0,1220.64141837648,247.732848628642,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0.00226802268923546,0.00174749183564264,1220.64141837648,247.732848628642,0.0380276006734684,0.0292999369104044
"Pre-consumer processes","PS","Soil",0,0,284.379845579949,68.7111810769444,0,0
"Pre-consumer processes","PS","Soil (MP)",0.0322011104025489,0.0135526144861618,284.379845579949,68.7111810769444,0.539911251083288,0.227234680767217
