"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,24.9056702038342,6.56335654406525,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.000994614631708179,0.000907557444415408,24.9056702038342,6.56335654406525,0.353958282116964,0.322976823089801
"Pre-consumer processes","LDPE","Fresh water",0,0,24.9056702038342,6.56335654406525,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",4.95383629551201e-06,3.20825237985354e-06,24.9056702038342,6.56335654406525,0.0017629454958215,0.00114173617074216
"Pre-consumer processes","LDPE","Subsurface soil (MP)",4.25745483320303e-06,4.08336866564256e-06,24.9056702038342,6.56335654406525,0.00151512088291222,0.00145316800302727
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,24.9056702038342,6.56335654406525,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,24.9056702038342,6.56335654406525,0,0
"Pre-consumer processes","HDPE","Soil",0,0,34.3326408970631,8.34317589162404,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00134847959478746,0.00123789638298364,34.3326408970631,8.34317589162404,0.479889904717176,0.44053612644646
"Pre-consumer processes","HDPE","Fresh water",0,0,34.3326408970631,8.34317589162404,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",8.05360352595367e-06,5.30194693886349e-06,34.3326408970631,8.34317589162404,0.00286607453582491,0.00188682930104534
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.14566593909105e-05,1.11969030704108e-05,34.3326408970631,8.34317589162404,0.00407713635766788,0.0039846956293275
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,34.3326408970631,8.34317589162404,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,34.3326408970631,8.34317589162404,0,0
"Pre-consumer processes","PP","Soil",0,0,51.9672329542892,10.7182250612158,0,0
"Pre-consumer processes","PP","Soil (MP)",0.00203107243404223,0.0017234361565766,51.9672329542892,10.7182250612158,0.722807494168896,0.613327495768327
"Pre-consumer processes","PP","Fresh water",0,0,51.9672329542892,10.7182250612158,0,0
"Pre-consumer processes","PP","Fresh water (MP)",3.10386418917813e-05,3.15210981704777e-05,51.9672329542892,10.7182250612158,0.0110458704437016,0.011217564474897
"Pre-consumer processes","PP","Subsurface soil (MP)",0.00010363492155532,9.74277972897817e-05,51.9672329542892,10.7182250612158,0.0368810568753124,0.0346720977750998
"Pre-consumer processes","PP","Coastal and ocean water",0,0,51.9672329542892,10.7182250612158,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0,51.9672329542892,10.7182250612158,0,0
"Pre-consumer processes","PS","Soil",0,0,12.2756359108452,2.99725537532936,0,0
"Pre-consumer processes","PS","Soil (MP)",0.000498548133473039,0.000453075003603145,12.2756359108452,2.99725537532936,0.17742071677919,0.161237975827968
"Pre-consumer processes","PS","Fresh water",0,0,12.2756359108452,2.99725537532936,0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.99546577948287e-06,1.4056443035271e-06,12.2756359108452,2.99725537532936,0.000710135983135403,0.000500233383948375
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,12.2756359108452,2.99725537532936,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,12.2756359108452,2.99725537532936,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0,12.2756359108452,2.99725537532936,0,0
"Pre-consumer processes","EPS","Soil",0,0,12.0787832083159,4.21689804839743,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.000477600229378927,0.000434183757532139,12.0787832083159,4.21689804839743,0.169965885620746,0.154515057430057
"Pre-consumer processes","EPS","Fresh water",0,0,12.0787832083159,4.21689804839743,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",2.01121615657942e-06,1.4276118707952e-06,12.0787832083159,4.21689804839743,0.000715741145418422,0.000508051087533884
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,12.0787832083159,4.21689804839743,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,12.0787832083159,4.21689804839743,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",0,0,12.0787832083159,4.21689804839743,0,0
"Pre-consumer processes","PVC","Soil",0,0,29.4095079007805,8.10302522813904,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.00172341940812272,0.00104562881615464,29.4095079007805,8.10302522813904,0.61332153541567,0.372112944751733
"Pre-consumer processes","PVC","Fresh water",0,0,29.4095079007805,8.10302522813904,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",2.51366509301755e-05,1.21273151877815e-05,29.4095079007805,8.10302522813904,0.00894550059668654,0.00431580585456091
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,29.4095079007805,8.10302522813904,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,29.4095079007805,8.10302522813904,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",0,0,29.4095079007805,8.10302522813904,0,0
"Pre-consumer processes","PET","Soil",0,0,76.3414455564609,21.1461263488968,0,0
"Pre-consumer processes","PET","Soil (MP)",0.0989910831136354,0.0380309321011921,76.3414455564609,21.1461263488968,35.2284318034046,13.5342503163521
"Pre-consumer processes","PET","Fresh water",0,0,76.3414455564609,21.1461263488968,0,0
"Pre-consumer processes","PET","Fresh water (MP)",0.00288597571728131,0.00149240552619607,76.3414455564609,21.1461263488968,1.02704602823486,0.531109516624539
