"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,13.5450951572155,3.55677274640396,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.000543372686362592,0.000490807993424542,13.5450951572155,3.55677274640396,0.284835040749914,0.257280717850023
"Pre-consumer processes","LDPE","Fresh water",0,0,13.5450951572155,3.55677274640396,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",3.12422343598662e-06,2.12785646614639e-06,13.5450951572155,3.55677274640396,0.00163771262714384,0.00111541875117428
"Pre-consumer processes","LDPE","Subsurface soil (MP)",2.03449919886325e-06,2.16257353541167e-06,13.5450951572155,3.55677274640396,0.00106648102997798,0.00113361738001057
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,13.5450951572155,3.55677274640396,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,13.5450951572155,3.55677274640396,0,0
"Pre-consumer processes","HDPE","Soil",0,0,18.8155383792508,4.58414915140795,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.000755396701690538,0.000678969164310502,18.8155383792508,4.58414915140795,0.395977670038418,0.355914484548207
"Pre-consumer processes","HDPE","Fresh water",0,0,18.8155383792508,4.58414915140795,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",5.09103203506223e-06,3.71300683823892e-06,18.8155383792508,4.58414915140795,0.00266871035950161,0.00194635188815649
"Pre-consumer processes","HDPE","Subsurface soil (MP)",4.59912792085332e-06,4.86940398815068e-06,18.8155383792508,4.58414915140795,0.0024108550569952,0.00255253331314332
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,18.8155383792508,4.58414915140795,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,18.8155383792508,4.58414915140795,0,0
"Pre-consumer processes","PP","Soil",0,0,28.4469214226567,5.80520125415889,0,0
"Pre-consumer processes","PP","Soil (MP)",0.00122191986707794,0.000928054455597964,28.4469214226567,5.80520125415889,0.640528322213133,0.486484571846863
"Pre-consumer processes","PP","Fresh water",0,0,28.4469214226567,5.80520125415889,0,0
"Pre-consumer processes","PP","Fresh water (MP)",2.4643911683009e-05,2.42411465502705e-05,28.4469214226567,5.80520125415889,0.0129182967135435,0.0127071679139636
"Pre-consumer processes","PP","Subsurface soil (MP)",3.93897278695506e-05,4.16546958757379e-05,28.4469214226567,5.80520125415889,0.0206480285528461,0.0218353209407986
"Pre-consumer processes","PP","Coastal and ocean water",0,0,28.4469214226567,5.80520125415889,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0,28.4469214226567,5.80520125415889,0,0
"Pre-consumer processes","PS","Soil",0,0,6.6903071253947,1.63679911432974,0,0
"Pre-consumer processes","PS","Soil (MP)",0.00026724008538204,0.000245708004558124,6.6903071253947,1.63679911432974,0.140086799576469,0.128799719322277
"Pre-consumer processes","PS","Fresh water",0,0,6.6903071253947,1.63679911432974,0,0
"Pre-consumer processes","PS","Fresh water (MP)",1.09005335968158e-06,7.67202872157348e-07,6.6903071253947,1.63679911432974,0.000571404122652748,0.000402166444576435
