"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,4.07506966459591,1.08304221924915,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.000162265054683831,0.000149180881870006,4.07506966459591,1.08304221924915,0.315166512287598,0.289753196278574
"Pre-consumer processes","LDPE","Fresh water",0,0,4.07506966459591,1.08304221924915,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",7.00148413124227e-07,4.35652815147696e-07,4.07506966459591,1.08304221924915,0.00135989436467399,0.000846166037326427
"Pre-consumer processes","LDPE","Subsurface soil (MP)",2.59516180468022e-07,2.75370168452662e-07,4.07506966459591,1.08304221924915,0.000504056832444129,0.000534849945038236
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,4.07506966459591,1.08304221924915,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",3.10751690270744e-07,5.98690692880205e-07,4.07506966459591,1.08304221924915,0.000603571277875797,0.00116283359951871
"Pre-consumer processes","HDPE","Soil",0,0,5.64773866549242,1.37628296684212,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.000220424351800354,0.000205757579491015,5.64773866549242,1.37628296684212,0.428128991270073,0.399641801072176
"Pre-consumer processes","HDPE","Fresh water",0,0,5.64773866549242,1.37628296684212,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",1.13786286229117e-06,6.66035316888305e-07,5.64773866549242,1.37628296684212,0.00221006470227767,0.00129363668778259
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.01926646122336e-06,1.06210870569929e-06,5.64773866549242,1.37628296684212,0.00197971557277944,0.00206292782569712
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,5.64773866549242,1.37628296684212,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",8.74189279111305e-07,1.74122100792611e-06,5.64773866549242,1.37628296684212,0.00169793296969303,0.00338196386929545
"Pre-consumer processes","PP","Soil",0,0,8.52902162646641,1.74063721391298,0,0
