"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,224.9576312535,56.5113289970101,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.111950523273886,0.0473608237767862,224.9576312535,56.5113289970101,6.43113466192385,2.72070041747814
"Pre-consumer processes","LDPE","Fresh water",0,0,224.9576312535,56.5113289970101,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.00285434797076713,0.00149699666966083,224.9576312535,56.5113289970101,0.163971508441126,0.0859968036726991
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0,224.9576312535,56.5113289970101,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,224.9576312535,56.5113289970101,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,224.9576312535,56.5113289970101,0,0
"Pre-consumer processes","HDPE","Soil",0,0,266.073985544326,64.3496218904892,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.0439640920856214,0.0183732400548929,266.073985544326,64.3496218904892,2.52557101318887,1.05547323508073
"Pre-consumer processes","HDPE","Fresh water",0,0,266.073985544326,64.3496218904892,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.00112310536357215,0.000569466382857673,266.073985544326,64.3496218904892,0.0645181605358901,0.0327136925000034
"Pre-consumer processes","HDPE","Subsurface soil (MP)",4.77319963542599e-05,4.62605540570455e-05,266.073985544326,64.3496218904892,0.00274202287992619,0.00265749407841728
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,266.073985544326,64.3496218904892,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,266.073985544326,64.3496218904892,0,0
"Pre-consumer processes","PP","Soil",0,0,431.299528574231,82.3023099931015,0,0
"Pre-consumer processes","PP","Soil (MP)",0.102328615975879,0.0402449954632312,431.299528574231,82.3023099931015,5.87839243501491,2.31192296135456
"Pre-consumer processes","PP","Fresh water",0,0,431.299528574231,82.3023099931015,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.00323345122846145,0.00155543704932647,431.299528574231,82.3023099931015,0.185749558509204,0.0893539827222716
"Pre-consumer processes","PP","Subsurface soil (MP)",0.00222836365701639,0.00214391169377891,431.299528574231,82.3023099931015,0.128011074311364,0.123159628045987
"Pre-consumer processes","PP","Coastal and ocean water",0,0,431.299528574231,82.3023099931015,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0,431.299528574231,82.3023099931015,0,0
"Pre-consumer processes","PS","Soil",0,0,92.8181379343473,22.7626671350671,0,0
"Pre-consumer processes","PS","Soil (MP)",0.00449159738175808,0.00334761210309128,92.8181379343473,22.7626671350671,0.258025302289668,0.192307669506785
"Pre-consumer processes","PS","Fresh water",0,0,92.8181379343473,22.7626671350671,0,0
"Pre-consumer processes","PS","Fresh water (MP)",4.41282040790869e-05,2.01079664679501e-05,92.8181379343473,22.7626671350671,0.00253499862727006,0.00115512671447246
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,92.8181379343473,22.7626671350671,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,92.8181379343473,22.7626671350671,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0,92.8181379343473,22.7626671350671,0,0
"Pre-consumer processes","EPS","Soil",0,0,106.08623866667,33.2956891608184,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.0442217056750294,0.0187607489497981,106.08623866667,33.2956891608184,2.54036994074879,1.07773415725375
"Pre-consumer processes","EPS","Fresh water",0,0,106.08623866667,33.2956891608184,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",0.00110836329587573,0.000584593114132905,106.08623866667,33.2956891608184,0.0636712844358211,0.0335826660695842
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,106.08623866667,33.2956891608184,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,106.08623866667,33.2956891608184,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",0,0,106.08623866667,33.2956891608184,0,0
"Pre-consumer processes","PVC","Soil",0,0,223.591303156237,61.3892965044527,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.00897798440396437,0.00831451379594893,223.591303156237,61.3892965044527,0.515751289105546,0.477637408977116
"Pre-consumer processes","PVC","Fresh water",0,0,223.591303156237,61.3892965044527,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",3.4714519546559e-05,2.37956215684734e-05,223.591303156237,61.3892965044527,0.00199421801166325,0.00136696856964785
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,223.591303156237,61.3892965044527,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,223.591303156237,61.3892965044527,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",0,0,223.591303156237,61.3892965044527,0,0
"Pre-consumer processes","PET","Soil",0,0,253.075990262339,67.355557032929,0,0
"Pre-consumer processes","PET","Soil (MP)",0.00649265816732598,0.0060063547290103,253.075990262339,67.355557032929,0.372978685287246,0.345042389797913
"Pre-consumer processes","PET","Fresh water",0,0,253.075990262339,67.355557032929,0,0
"Pre-consumer processes","PET","Fresh water (MP)",0.000347163751305035,0.000389023853465088,253.075990262339,67.355557032929,0.0199432460795127,0.0223479508194324
"Pre-consumer processes","PET","Subsurface soil (MP)",0.0010565574333205,0.00111477858069156,253.075990262339,67.355557032929,0.0606952333319353,0.0640398183143475
"Pre-consumer processes","PET","Coastal and ocean water",0,0,253.075990262339,67.355557032929,0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",0,0,253.075990262339,67.355557032929,0,0
"ConsumerFilms","LDPE","Soil",0.0665098106040989,0.0609931169996422,28.1956204966001,12.158283132177,3.82073737420204,3.50382416628395
"ConsumerFilms","LDPE","Soil (MP)",0.00463747935784349,0.00374956407350155,28.1956204966001,12.158283132177,0.26640567073741,0.215398291807941
"ConsumerFilms","LDPE","Fresh water",0.00106037470352557,0.00120440890290781,28.1956204966001,12.158283132177,0.060914521085238,0.069188741741477
"ConsumerFilms","LDPE","Fresh water (MP)",0,0,28.1956204966001,12.158283132177,0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0,28.1956204966001,12.158283132177,0,0
"ConsumerFilms","LDPE","Coastal and ocean water",0.000244168058132754,0.000240668208480028,28.1956204966001,12.158283132177,0.0140265325794907,0.0138254794378444
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0,28.1956204966001,12.158283132177,0,0
"ConsumerFilms","HDPE","Soil",0.0782317856380446,0.0757004650009092,13.1463886875828,5.61332852812889,4.49412055940239,4.34870575102229
"ConsumerFilms","HDPE","Soil (MP)",0.00216298123504171,0.00175053667753253,13.1463886875828,5.61332852812889,0.124255101155141,0.100561719361562
"ConsumerFilms","HDPE","Fresh water",0.00134622804981899,0.0014669623921419,13.1463886875828,5.61332852812889,0.077335716000754,0.0842714478856143
"ConsumerFilms","HDPE","Fresh water (MP)",0,0,13.1463886875828,5.61332852812889,0,0
"ConsumerFilms","HDPE","Subsurface soil (MP)",0,0,13.1463886875828,5.61332852812889,0,0
"ConsumerFilms","HDPE","Coastal and ocean water",0.000308984810594439,0.000297629185751874,13.1463886875828,5.61332852812889,0.017750010159045,0.0170976724084284
"ConsumerFilms","HDPE","Coastal and ocean water (MP)",0,0,13.1463886875828,5.61332852812889,0,0
"ConsumerFilms","PP","Soil",0.183009783311615,0.173267993925303,45.3248343366488,19.0254937895722,10.5132207202559,9.9535917202359
"ConsumerFilms","PP","Soil (MP)",0.00746201212023301,0.00600399461560131,45.3248343366488,19.0254937895722,0.428664408086073,0.344906810198044
"ConsumerFilms","PP","Fresh water",0.00308701425681621,0.00340793985210031,45.3248343366488,19.0254937895722,0.17733730766308,0.195773270795479
"ConsumerFilms","PP","Fresh water (MP)",0,0,45.3248343366488,19.0254937895722,0,0
"ConsumerFilms","PP","Subsurface soil (MP)",0,0,45.3248343366488,19.0254937895722,0,0
"ConsumerFilms","PP","Coastal and ocean water",0.000714668169961383,0.000688552734077754,45.3248343366488,19.0254937895722,0.0410549866602049,0.0395547535213962
"ConsumerFilms","PP","Coastal and ocean water (MP)",0,0,45.3248343366488,19.0254937895722,0,0
"ConsumerFilms","PS","Soil",0.00852930817140378,0.00828928833431507,1.99218011967874,0.862067351756608,0.489976534447701,0.476188301497023
"ConsumerFilms","PS","Soil (MP)",0.000324111963853756,0.000263312105582356,1.99218011967874,0.862067351756608,0.0186190079700174,0.015126285787624
"ConsumerFilms","PS","Fresh water",0.00014351859136214,0.000163055252780054,1.99218011967874,0.862067351756608,0.0082446009232263,0.00936690832071502
"ConsumerFilms","PS","Fresh water (MP)",0,0,1.99218011967874,0.862067351756608,0,0
"ConsumerFilms","PS","Subsurface soil (MP)",0,0,1.99218011967874,0.862067351756608,0,0
"ConsumerFilms","PS","Coastal and ocean water",3.32762651800237e-05,3.24224742480578e-05,1.99218011967874,0.862067351756608,0.00191159573140236,0.00186254866760999
"ConsumerFilms","PS","Coastal and ocean water (MP)",0,0,1.99218011967874,0.862067351756608,0,0
"ConsumerFilms","EPS","Soil",0,0,0,0,0,0
"ConsumerFilms","EPS","Soil (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Fresh water",0,0,0,0,0,0
"ConsumerFilms","EPS","Fresh water (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Subsurface soil (MP)",0,0,0,0,0,0
"ConsumerFilms","EPS","Coastal and ocean water",0,0,0,0,0,0
"ConsumerFilms","EPS","Coastal and ocean water (MP)",0,0,0,0,0,0
"ConsumerFilms","PVC","Soil",0.0187254299359411,0.0177683946342948,4.34744756838926,1.81971775172262,1.07570521332747,1.02072715050909
"ConsumerFilms","PVC","Soil (MP)",0.000711023263179354,0.000566499288832755,4.34744756838926,1.81971775172262,0.0408456005344425,0.0325432441566568
"ConsumerFilms","PVC","Fresh water",0.000313527150884215,0.000342803345732224,4.34744756838926,1.81971775172262,0.0180109504497157,0.0196927572510618
"ConsumerFilms","PVC","Fresh water (MP)",0,0,4.34744756838926,1.81971775172262,0,0
"ConsumerFilms","PVC","Subsurface soil (MP)",0,0,4.34744756838926,1.81971775172262,0,0
"ConsumerFilms","PVC","Coastal and ocean water",7.30887113632264e-05,7.04887097659417e-05,4.34744756838926,1.81971775172262,0.00419867037060146,0.00404931010050743
"ConsumerFilms","PVC","Coastal and ocean water (MP)",0,0,4.34744756838926,1.81971775172262,0,0
"ConsumerFilms","PET","Soil",0.0208072184016148,0.0202617965955187,4.91216625484365,2.08891566495582,1.19529609659323,1.16396367419827
"ConsumerFilms","PET","Soil (MP)",0.000815343917277013,0.000654556237086877,4.91216625484365,2.08891566495582,0.0468384280345041,0.0376017831931814
"ConsumerFilms","PET","Fresh water",0.000358182868649165,0.000402250709619888,4.91216625484365,2.08891566495582,0.0205762527455224,0.0231077837402423
"ConsumerFilms","PET","Fresh water (MP)",0,0,4.91216625484365,2.08891566495582,0,0
"ConsumerFilms","PET","Subsurface soil (MP)",0,0,4.91216625484365,2.08891566495582,0,0
"ConsumerFilms","PET","Coastal and ocean water",8.28394200606613e-05,8.23809983578795e-05,4.91216625484365,2.08891566495582,0.00475881175135215,0.0047324771562442
"ConsumerFilms","PET","Coastal and ocean water (MP)",0,0,4.91216625484365,2.08891566495582,0,0
"ConsumerBags","LDPE","Soil",0.00713842991340911,0.00668985335728251,2.31495373275926,1.0080320418389,0.410075832656231,0.384306804032985
"ConsumerBags","LDPE","Soil (MP)",0.000380826209834591,0.000311385282785941,2.31495373275926,1.0080320418389,0.021877027159976,0.0178879082185118
"ConsumerBags","LDPE","Fresh water",0.000118011897596584,0.000132861781642607,2.31495373275926,1.0080320418389,0.00677933771953917,0.00763240746160979
"ConsumerBags","LDPE","Fresh water (MP)",0,0,2.31495373275926,1.0080320418389,0,0
