"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,82.2897337167606,18.7571989826742,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.00316177728493376,0.00271563463777483,82.2897337167606,18.7571989826742,0.589050798485306,0.505932773759279
"Pre-consumer processes","LDPE","Fresh water",0,0,82.2897337167606,18.7571989826742,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",1.30394078586749e-05,1.19174186580514e-05,82.2897337167606,18.7571989826742,0.0024292898957584,0.00222025915925825
"Pre-consumer processes","LDPE","Subsurface soil (MP)",9.66813341216885e-05,0.000103993340863658,82.2897337167606,18.7571989826742,0.018012090014809,0.0193743439061285
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,82.2897337167606,18.7571989826742,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",8.80742386198234e-05,0.000133071539685755,82.2897337167606,18.7571989826742,0.0164085562990814,0.0247917198599285
"Pre-consumer processes","HDPE","Soil",0,0,109.53914806894,23.8868718167947,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00422379505141976,0.00366236931258689,109.53914806894,23.8868718167947,0.786908635068273,0.682312944117627
"Pre-consumer processes","HDPE","Fresh water",0,0,109.53914806894,23.8868718167947,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",1.63029969120197e-05,1.47154256379904e-05,109.53914806894,23.8868718167947,0.0030373086031358,0.00274153820492482
"Pre-consumer processes","HDPE","Subsurface soil (MP)",0.000111708648417353,0.000119712149280218,109.53914806894,23.8868718167947,0.0208117342298304,0.0223028160325915
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,109.53914806894,23.8868718167947,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0.00010468150717656,0.000160816041947417,109.53914806894,23.8868718167947,0.0195025518346369,0.029960623213332
"Pre-consumer processes","PP","Soil",0,0,154.016436760328,30.7809993793985,0,0
"Pre-consumer processes","PP","Soil (MP)",0.00601582664175711,0.00507486577897023,154.016436760328,30.7809993793985,1.12077074617558,0.945466258345517
"Pre-consumer processes","PP","Fresh water",0,0,154.016436760328,30.7809993793985,0,0
"Pre-consumer processes","PP","Fresh water (MP)",2.90839312137586e-05,3.03866461307822e-05,154.016436760328,30.7809993793985,0.00541844391956125,0.00566114452523896
"Pre-consumer processes","PP","Subsurface soil (MP)",0.000236678272744596,0.000248994754983269,154.016436760328,30.7809993793985,0.0440940373025826,0.0463886434824015
"Pre-consumer processes","PP","Coastal and ocean water",0,0,154.016436760328,30.7809993793985,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0.000218649242334815,0.000348273275654563,154.016436760328,30.7809993793985,0.0407351622770065,0.0648845989541958
"Pre-consumer processes","PS","Soil",0,0,35.261562599738,8.58034955008611,0,0
"Pre-consumer processes","PS","Soil (MP)",0.00143038412768094,0.00132386250170345,35.261562599738,8.58034955008611,0.266485851665171,0.246640478894297
"Pre-consumer processes","PS","Fresh water",0,0,35.261562599738,8.58034955008611,0,0
"Pre-consumer processes","PS","Fresh water (MP)",2.69299643598016e-06,1.26155325653704e-06,35.261562599738,8.58034955008611,0.000501715193062826,0.00023503203613864
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,35.261562599738,8.58034955008611,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,35.261562599738,8.58034955008611,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",3.99826475724949e-06,4.25907518463111e-06,35.261562599738,8.58034955008611,0.000744891507392435,0.000793481454329716
"Pre-consumer processes","EPS","Soil",0,0,34.7946490880908,12.084974471165,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.00141867000555933,0.00130161346628403,34.7946490880908,12.084974471165,0.264303467402318,0.24249540133245
"Pre-consumer processes","EPS","Fresh water",0,0,34.7946490880908,12.084974471165,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",2.65137249152865e-06,1.25255701237332e-06,34.7946490880908,12.084974471165,0.000493960498311837,0.000233356002588377
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,34.7946490880908,12.084974471165,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,34.7946490880908,12.084974471165,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",3.95031216143875e-06,4.31172091667342e-06,34.7946490880908,12.084974471165,0.000735957761493774,0.000803289548860642
"Pre-consumer processes","PVC","Soil",0,0,83.9758695819369,23.3657287328902,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.00336495671138738,0.00308735689350375,83.9758695819369,23.3657287328902,0.626903876865808,0.575186004401192
"Pre-consumer processes","PVC","Fresh water",0,0,83.9758695819369,23.3657287328902,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",6.38529059550292e-06,3.08605634988072e-06,83.9758695819369,23.3657287328902,0.00118960324680823,0.000574943708315612
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,83.9758695819369,23.3657287328902,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,83.9758695819369,23.3657287328902,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",9.56553462714742e-06,1.05439095485733e-05,83.9758695819369,23.3657287328902,0.00178209446848439,0.00196436933377301
"Pre-consumer processes","PET","Soil",0,0,95.5261301988325,25.8186852505578,0,0
"Pre-consumer processes","PET","Soil (MP)",0.00338290513320076,0.00240749269429782,95.5261301988325,25.8186852505578,0.630247734211835,0.448524790370675
"Pre-consumer processes","PET","Fresh water",0,0,95.5261301988325,25.8186852505578,0,0
"Pre-consumer processes","PET","Fresh water (MP)",3.6247479029389e-05,5.05091691518912e-05,95.5261301988325,25.8186852505578,0.00675303936399439,0.00941004496474969
"Pre-consumer processes","PET","Subsurface soil (MP)",0.000404171479478796,0.000422974840020922,95.5261301988325,25.8186852505578,0.0752986410037291,0.0788017765959561
