"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,321.624583847644,84.8770027935788,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.02364199288206,0.0117499872337687,321.624583847644,84.8770027935788,0.622843851878615,0.309551201741474
"Pre-consumer processes","LDPE","Fresh water",0,0,321.624583847644,84.8770027935788,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.000449122852298455,0.000225737444653283,321.624583847644,84.8770027935788,0.011832056996538,0.00594701048437316
"Pre-consumer processes","LDPE","Subsurface soil (MP)",3.90893024061281e-06,3.97215909916474e-06,321.624583847644,84.8770027935788,0.000102980031333803,0.000104645783709536
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,321.624583847644,84.8770027935788,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,321.624583847644,84.8770027935788,0,0
"Pre-consumer processes","HDPE","Soil",0,0,448.45775136376,110.334966640444,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.0268092379933586,0.0157109133826968,448.45775136376,110.334966640444,0.706284328102676,0.413901055491627
"Pre-consumer processes","HDPE","Fresh water",0,0,448.45775136376,110.334966640444,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.000423444729361869,0.000203792411837995,448.45775136376,110.334966640444,0.0111555716816739,0.00536887272600134
"Pre-consumer processes","HDPE","Subsurface soil (MP)",7.09613203797756e-05,6.88817545530578e-05,448.45775136376,110.334966640444,0.00186946262695435,0.00181467685672722
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,448.45775136376,110.334966640444,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,448.45775136376,110.334966640444,0,0
"Pre-consumer processes","PP","Soil",0,0,682.388304147497,138.745835016103,0,0
"Pre-consumer processes","PP","Soil (MP)",0.0591543715345293,0.0241003483105523,682.388304147497,138.745835016103,1.55841078228151,0.63491913935695
"Pre-consumer processes","PP","Fresh water",0,0,682.388304147497,138.745835016103,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.00166888739872092,0.000819902393277206,682.388304147497,138.745835016103,0.0439665243516666,0.0216001742044672
"Pre-consumer processes","PP","Subsurface soil (MP)",0.0015006619823018,0.00136104978971595,682.388304147497,138.745835016103,0.0395346574244974,0.0358566004927836
"Pre-consumer processes","PP","Coastal and ocean water",0,0,682.388304147497,138.745835016103,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0,0,682.388304147497,138.745835016103,0,0
"Pre-consumer processes","PS","Soil",0,0,160.689843657675,39.1655623916105,0,0
"Pre-consumer processes","PS","Soil (MP)",0.0112103820535207,0.00573547605642225,160.689843657675,39.1655623916105,0.295335404848381,0.151100037004509
"Pre-consumer processes","PS","Fresh water",0,0,160.689843657675,39.1655623916105,0,0
"Pre-consumer processes","PS","Fresh water (MP)",0.000202526175272866,9.96862066569247e-05,160.689843657675,39.1655623916105,0.00533551396206174,0.00262621434847318
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,160.689843657675,39.1655623916105,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,160.689843657675,39.1655623916105,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",0,0,160.689843657675,39.1655623916105,0,0
"Pre-consumer processes","EPS","Soil",0,0,159.481065045379,55.1301776153825,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.0155944618156076,0.00675764958369968,159.481065045379,55.1301776153825,0.41083316087864,0.178029006156721
"Pre-consumer processes","EPS","Fresh water",0,0,159.481065045379,55.1301776153825,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",0.000369131864464924,0.000190141548757906,159.481065045379,55.1301776153825,0.00972470948034711,0.00500924330792797
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,159.481065045379,55.1301776153825,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,159.481065045379,55.1301776153825,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",0,0,159.481065045379,55.1301776153825,0,0
"Pre-consumer processes","PVC","Soil",0,0,384.568049795807,106.779260425668,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.0360948617465602,0.0157202013121339,384.568049795807,106.779260425668,0.950912337864417,0.414145744244197
"Pre-consumer processes","PVC","Fresh water",0,0,384.568049795807,106.779260425668,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",0.000815376934838925,0.000414032840136392,384.568049795807,106.779260425668,0.0214809518538271,0.0109076172318145
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,384.568049795807,106.779260425668,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,384.568049795807,106.779260425668,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",0,0,384.568049795807,106.779260425668,0,0
"Pre-consumer processes","PET","Soil",0,0,431.71975672363,116.135382982221,0,0
"Pre-consumer processes","PET","Soil (MP)",0.035453597471472,0.0143678662891068,431.71975672363,116.135382982221,0.934018351255057,0.378518732639277
"Pre-consumer processes","PET","Fresh water",0,0,431.71975672363,116.135382982221,0,0
"Pre-consumer processes","PET","Fresh water (MP)",0.0011073745778562,0.000558451084516933,431.71975672363,116.135382982221,0.0291735747906338,0.0147122886933214
"Pre-consumer processes","PET","Subsurface soil (MP)",0.00119596295098389,0.00111772273765129,431.71975672363,116.135382982221,0.0315074188039437,0.0294461951123969
