"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,122.515506929019,32.1394779534888,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.0214107682762981,0.00909819758205426,122.515506929019,32.1394779534888,2.06360994220442,0.876901321063368
"Pre-consumer processes","LDPE","Fresh water",0,0,122.515506929019,32.1394779534888,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.000541641392341084,0.000278212487381723,122.515506929019,32.1394779534888,0.052204411720333,0.0268146405396346
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0,122.515506929019,32.1394779534888,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,122.515506929019,32.1394779534888,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",2.79511397724671e-05,6.92333128199735e-05,122.515506929019,32.1394779534888,0.00269398319509446,0.00667283634213189
"Pre-consumer processes","HDPE","Soil",0,0,165.157290246671,40.3689163356226,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.0184071503334171,0.0077555818638795,165.157290246671,40.3689163356226,1.77411562002382,0.747497503842456
"Pre-consumer processes","HDPE","Fresh water",0,0,165.157290246671,40.3689163356226,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.000468179112327105,0.000232726179532036,165.157290246671,40.3689163356226,0.0451239796004977,0.0224305850073213
"Pre-consumer processes","HDPE","Subsurface soil (MP)",2.70948845111309e-05,2.3813025362442e-05,165.157290246671,40.3689163356226,0.00261145570950609,0.00229514397885016
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,165.157290246671,40.3689163356226,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",2.50070597013246e-05,6.18706390286925e-05,165.157290246671,40.3689163356226,0.002410227244488,0.00596320805412155
"Pre-consumer processes","PP","Soil",0,0,250.977314717041,51.6970152357934,0,0
"Pre-consumer processes","PP","Soil (MP)",0.00898666329453789,0.00817054666565739,250.977314717041,51.6970152357934,0.866151437563379,0.787492588538305
"Pre-consumer processes","PP","Fresh water",0,0,250.977314717041,51.6970152357934,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.000124943680534597,9.55232818777646e-05,250.977314717041,51.6970152357934,0.012042305910724,0.00920671279288783
"Pre-consumer processes","PP","Subsurface soil (MP)",0.000440539420131565,0.000423521340907029,250.977314717041,51.6970152357934,0.0424600143061122,0.0408197799608621
"Pre-consumer processes","PP","Coastal and ocean water",0,0,250.977314717041,51.6970152357934,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",4.34806827273043e-05,0.000110047806817266,250.977314717041,51.6970152357934,0.00419074962710377,0.0106066137064918
"Pre-consumer processes","PS","Soil",0,0,59.2184608332022,14.4027452617174,0,0
"Pre-consumer processes","PS","Soil (MP)",0.00321497453583779,0.00207690748850869,59.2184608332022,14.4027452617174,0.309865266415187,0.20017623314666
"Pre-consumer processes","PS","Fresh water",0,0,59.2184608332022,14.4027452617174,0,0
"Pre-consumer processes","PS","Fresh water (MP)",4.13497430741165e-05,1.9063035698511e-05,59.2184608332022,14.4027452617174,0.00398536567273983,0.00183733107978163
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,59.2184608332022,14.4027452617174,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,59.2184608332022,14.4027452617174,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",2.0650799664144e-06,5.11818949188733e-06,59.2184608332022,14.4027452617174,0.000199036274417928,0.000493300688011141
"Pre-consumer processes","EPS","Soil",0,0,58.4827275501323,20.1893649886402,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.00236005662140268,0.00217400216053949,58.4827275501323,20.1893649886402,0.227466676825574,0.209534399465224
"Pre-consumer processes","EPS","Fresh water",0,0,58.4827275501323,20.1893649886402,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",9.34758917531982e-06,6.40345122151946e-06,58.4827275501323,20.1893649886402,0.000900938149855483,0.000617176620410061
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,58.4827275501323,20.1893649886402,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,58.4827275501323,20.1893649886402,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",4.51005070728065e-07,1.27127650638046e-06,58.4827275501323,20.1893649886402,4.34687133095237e-05,0.000122528010391938
"Pre-consumer processes","PVC","Soil",0,0,149.584085087623,39.6959783274248,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.0337321543725313,0.0142236955729595,149.584085087623,39.6959783274248,3.25116820829774,1.37090641589641
"Pre-consumer processes","PVC","Fresh water",0,0,149.584085087623,39.6959783274248,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",0.000859984735980681,0.000448262415585773,149.584085087623,39.6959783274248,0.0828869393387607,0.0432043710707662
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,149.584085087623,39.6959783274248,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,149.584085087623,39.6959783274248,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",4.51735950091811e-05,0.000120150235266317,149.584085087623,39.6959783274248,0.00435391568313121,0.0115803046791296
