"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,139.677550536328,36.8752247797234,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.0184351610974683,0.0102386681192944,139.677550536328,36.8752247797234,0.953764582095846,0.529709448612195
"Pre-consumer processes","LDPE","Fresh water",0,0,139.677550536328,36.8752247797234,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.00039375361236753,0.000246589148914229,139.677550536328,36.8752247797234,0.02037130283608,0.0127575775074647
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0,139.677550536328,36.8752247797234,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,139.677550536328,36.8752247797234,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0.00011306569712248,0.000143915131138343,139.677550536328,36.8752247797234,0.00584958584279508,0.00744561732776395
"Pre-consumer processes","HDPE","Soil",0,0,191.64937083483,47.1734019768545,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00759561438056379,0.00691058994405102,191.64937083483,47.1734019768545,0.392967977721361,0.35752743874469
"Pre-consumer processes","HDPE","Fresh water",0,0,191.64937083483,47.1734019768545,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",3.15466246314788e-05,1.95134865015692e-05,191.64937083483,47.1734019768545,0.00163210145542525,0.00100955300580248
"Pre-consumer processes","HDPE","Subsurface soil (MP)",5.41327422047707e-05,5.33710642986712e-05,191.64937083483,47.1734019768545,0.0028006206169647,0.00276121432124741
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,191.64937083483,47.1734019768545,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",8.34824544473144e-06,1.12285745965392e-05,191.64937083483,47.1734019768545,0.000431906224509277,0.000580923415910422
"Pre-consumer processes","PP","Soil",0,0,291.688325127974,60.0294480078504,0,0
"Pre-consumer processes","PP","Soil (MP)",0.018632387353276,0.00917750712438996,291.688325127974,60.0294480078504,0.963968312698154,0.474809045654474
"Pre-consumer processes","PP","Fresh water",0,0,291.688325127974,60.0294480078504,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.00038858510830055,0.000210554844316647,291.688325127974,60.0294480078504,0.0201039042440394,0.0108933006897076
"Pre-consumer processes","PP","Subsurface soil (MP)",0.00100473251288968,0.000875831605814429,291.688325127974,60.0294480078504,0.0519810095614482,0.0453121706444241
"Pre-consumer processes","PP","Coastal and ocean water",0,0,291.688325127974,60.0294480078504,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",0.000109238054544989,0.000138253119124889,291.688325127974,60.0294480078504,0.00565155828534486,0.00715268652595095
"Pre-consumer processes","PS","Soil",0,0,68.6861517110863,16.8205217929498,0,0
"Pre-consumer processes","PS","Soil (MP)",0.00570115728640832,0.00264382061557272,68.6861517110863,16.8205217929498,0.294956028210714,0.136781146159574
"Pre-consumer processes","PS","Fresh water",0,0,68.6861517110863,16.8205217929498,0,0
"Pre-consumer processes","PS","Fresh water (MP)",0.000101631661145766,5.06673155305655e-05,68.6861517110863,16.8205217929498,0.00525803264250886,0.00262133272215151
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,68.6861517110863,16.8205217929498,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,68.6861517110863,16.8205217929498,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",2.82400824909519e-05,3.27231191637985e-05,68.6861517110863,16.8205217929498,0.00146103363745673,0.00169296877359097
"Pre-consumer processes","EPS","Soil",0,0,67.967379463096,23.3195512600611,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.00432312482067975,0.0024118807688597,67.967379463096,23.3195512600611,0.223661909768179,0.124781467404285
"Pre-consumer processes","EPS","Fresh water",0,0,67.967379463096,23.3195512600611,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",5.96739529362921e-05,2.86512281532435e-05,67.967379463096,23.3195512600611,0.00308730162342362,0.00148230473830054
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,67.967379463096,23.3195512600611,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,67.967379463096,23.3195512600611,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",1.68286197613443e-05,1.97547789874839e-05,67.967379463096,23.3195512600611,0.000870648290463415,0.00102203655426591
"Pre-consumer processes","PVC","Soil",0,0,164.409769746493,45.6977199056707,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.00874112653541527,0.00584865598235271,164.409769746493,45.6977199056707,0.452232386417397,0.302587045447466
"Pre-consumer processes","PVC","Fresh water",0,0,164.409769746493,45.6977199056707,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",8.80082558099915e-05,4.06065565074895e-05,164.409769746493,45.6977199056707,0.00455320986238239,0.00210082760833783
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,164.409769746493,45.6977199056707,0,0
"Pre-consumer processes","PVC","Coastal and ocean water",0,0,164.409769746493,45.6977199056707,0,0
"Pre-consumer processes","PVC","Coastal and ocean water (MP)",2.46882729103696e-05,2.72817775454471e-05,164.409769746493,45.6977199056707,0.00127727662213164,0.00141145461229729
"Pre-consumer processes","PET","Soil",0,0,185.627369144036,49.5966820044364,0,0
"Pre-consumer processes","PET","Soil (MP)",0.00496005215912166,0.0045423820808453,185.627369144036,49.5966820044364,0.256614089223659,0.235005440101744
"Pre-consumer processes","PET","Fresh water",0,0,185.627369144036,49.5966820044364,0,0
"Pre-consumer processes","PET","Fresh water (MP)",0.000189171150923763,0.000219189298976739,185.627369144036,49.5966820044364,0.00978699034695012,0.0113400142821177
"Pre-consumer processes","PET","Subsurface soil (MP)",0.00154951295686501,0.00150719389666045,185.627369144036,49.5966820044364,0.0801658618518612,0.0779764358654384
"Pre-consumer processes","PET","Coastal and ocean water",0,0,185.627369144036,49.5966820044364,0,0
"Pre-consumer processes","PET","Coastal and ocean water (MP)",5.30027361635765e-05,0.000141557787140388,185.627369144036,49.5966820044364,0.00274215843516183,0.00732365738387317
"ConsumerFilms","LDPE","Soil",0.163955911029305,0.134865446901895,21.0386611833132,8.83089727114138,8.48245047267224,6.97742134844811
"ConsumerFilms","LDPE","Soil (MP)",0.000607454843743847,0.000485292400023608,21.0386611833132,8.83089727114138,0.0314273855336698,0.0251071688853519
"ConsumerFilms","LDPE","Fresh water",0.000748349183329856,0.000704983380704843,21.0386611833132,8.83089727114138,0.0387167186837541,0.036473138256156
"ConsumerFilms","LDPE","Fresh water (MP)",0,0,21.0386611833132,8.83089727114138,0,0
"ConsumerFilms","LDPE","Subsurface soil (MP)",0,0,21.0386611833132,8.83089727114138,0,0
"ConsumerFilms","LDPE","Coastal and ocean water",4.26224683265913e-05,3.79535019244425e-05,21.0386611833132,8.83089727114138,0.00220512315983978,0.00196356873209049
"ConsumerFilms","LDPE","Coastal and ocean water (MP)",0,0,21.0386611833132,8.83089727114138,0,0
