"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,14.140564905423,3.80298017074128,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.000584170131941269,0.000516824782380188,14.140564905423,3.80298017074128,0.278725608206493,0.246593062412149
"Pre-consumer processes","LDPE","Fresh water",0,0,14.140564905423,3.80298017074128,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",2.95733317575708e-06,1.65474012226184e-06,14.140564905423,3.80298017074128,0.00141103497596314,0.000789527608110389
"Pre-consumer processes","LDPE","Subsurface soil (MP)",2.65038140475596e-08,2.73660802113484e-08,14.140564905423,3.80298017074128,1.26457880782931e-05,1.30572018904633e-05
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,14.140564905423,3.80298017074128,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",1.92070993860456e-08,1.14507662264758e-07,14.140564905423,3.80298017074128,9.16430020218211e-06,5.46351414835044e-05
"Pre-consumer processes","HDPE","Soil",0,0,19.6126376140394,4.83308068101409,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.000771126041551876,0.000710976855809513,19.6126376140394,4.83308068101409,0.367928045586933,0.339229011756751
"Pre-consumer processes","HDPE","Fresh water",0,0,19.6126376140394,4.83308068101409,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",3.89697571192486e-06,2.3695110749589e-06,19.6126376140394,4.83308068101409,0.00185936744465633,0.00113056690064795
"Pre-consumer processes","HDPE","Subsurface soil (MP)",2.89309714344312e-06,3.02028059446703e-06,19.6126376140394,4.83308068101409,0.00138038598143823,0.0014410691331472
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,19.6126376140394,4.83308068101409,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",7.1717016923958e-08,3.82949599828932e-07,19.6126376140394,4.83308068101409,3.42184032834038e-05,0.000182717078961311
"Pre-consumer processes","PP","Soil",0,0,29.8477014716827,6.09602905107909,0,0
"Pre-consumer processes","PP","Soil (MP)",0.00107639537546186,0.000974988794500157,29.8477014716827,6.09602905107909,0.513581471033555,0.465197259980578
