"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,45.8310781167641,11.4139243891213,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.0271850700203239,0.0111872714168382,45.8310781167641,11.4139243891213,4.98089091122566,2.049749310187
"Pre-consumer processes","LDPE","Fresh water",0,0,45.8310781167641,11.4139243891213,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.000704686856936044,0.000380983270436993,45.8310781167641,11.4139243891213,0.129113824549608,0.0698043487704813
"Pre-consumer processes","LDPE","Subsurface soil (MP)",0,0,45.8310781167641,11.4139243891213,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,45.8310781167641,11.4139243891213,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",0,0,45.8310781167641,11.4139243891213,0,0
"Pre-consumer processes","HDPE","Soil",0,0,50.7266719504212,12.7036476048418,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.00205418589838934,0.00186533688580916,50.7266719504212,12.7036476048418,0.376371142822367,0.341769932317801
"Pre-consumer processes","HDPE","Fresh water",0,0,50.7266719504212,12.7036476048418,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",1.06573110822486e-05,7.1238230326978e-06,50.7266719504212,12.7036476048418,0.00195264915146405,0.0013052379622424
"Pre-consumer processes","HDPE","Subsurface soil (MP)",1.19819197156227e-05,1.14340797203453e-05,50.7266719504212,12.7036476048418,0.00219534601036388,0.00209496991233495
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,50.7266719504212,12.7036476048418,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",0,0,50.7266719504212,12.7036476048418,0,0
"Pre-consumer processes","PP","Soil",0,0,94.9575043938667,17.5896574573909,0,0
"Pre-consumer processes","PP","Soil (MP)",0.045469472090348,0.0164139801541501,94.9575043938667,17.5896574573909,8.33098756426688,3.00739503358729
"Pre-consumer processes","PP","Fresh water",0,0,94.9575043938667,17.5896574573909,0,0
