"prod","mat","dest","EM.mean","EM.sd","M.mean","M.sd","EM.percap.mean","EM.percap.sd"
"Pre-consumer processes","LDPE","Soil",0,0,566.759086785537,151.179777840675,0,0
"Pre-consumer processes","LDPE","Soil (MP)",0.0265847514024374,0.0203091954353916,566.759086785537,151.179777840675,0.396636127201141,0.303006806500598
"Pre-consumer processes","LDPE","Fresh water",0,0,566.759086785537,151.179777840675,0,0
"Pre-consumer processes","LDPE","Fresh water (MP)",0.000235264494129019,0.000106067666076505,566.759086785537,151.179777840675,0.00351007223677533,0.00158249620833361
"Pre-consumer processes","LDPE","Subsurface soil (MP)",1.9647317600566e-05,2.10596976039171e-05,566.759086785537,151.179777840675,0.00029313179743576,0.000314204062742486
"Pre-consumer processes","LDPE","Coastal and ocean water",0,0,566.759086785537,151.179777840675,0,0
"Pre-consumer processes","LDPE","Coastal and ocean water (MP)",2.43808183713642e-06,1.23552844180086e-05,566.759086785537,151.179777840675,3.63754139748161e-05,0.000184336956469647
"Pre-consumer processes","HDPE","Soil",0,0,787.16433138234,194.254776465638,0,0
"Pre-consumer processes","HDPE","Soil (MP)",0.0323954047985117,0.0282869456473146,787.16433138234,194.254776465638,0.483329247803944,0.422032329814128
"Pre-consumer processes","HDPE","Fresh water",0,0,787.16433138234,194.254776465638,0,0
"Pre-consumer processes","HDPE","Fresh water (MP)",0.000212368351058007,0.000103256974347947,787.16433138234,194.254776465638,0.00316846898542062,0.0015405615720041
"Pre-consumer processes","HDPE","Subsurface soil (MP)",0.000130786328467185,0.000136652931749661,787.16433138234,194.254776465638,0.0019512908745622,0.00203881874986794
"Pre-consumer processes","HDPE","Coastal and ocean water",0,0,787.16433138234,194.254776465638,0,0
"Pre-consumer processes","HDPE","Coastal and ocean water (MP)",5.05195155369773e-06,2.50125871682975e-05,787.16433138234,194.254776465638,7.53735278067238e-05,0.000373179931440128
"Pre-consumer processes","PP","Soil",0,0,1193.76720209982,248.476802940159,0,0
"Pre-consumer processes","PP","Soil (MP)",0.0651159125773772,0.0372949344614265,1193.76720209982,248.476802940159,0.971508929795409,0.556428688953033
"Pre-consumer processes","PP","Fresh water",0,0,1193.76720209982,248.476802940159,0,0
"Pre-consumer processes","PP","Fresh water (MP)",0.00151837741301716,0.000739540530527771,1193.76720209982,248.476802940159,0.0226537133115188,0.0110337120515604
"Pre-consumer processes","PP","Subsurface soil (MP)",0.00192212351679074,0.00189282847748176,1193.76720209982,248.476802940159,0.0286774781588598,0.028240405388766
"Pre-consumer processes","PP","Coastal and ocean water",0,0,1193.76720209982,248.476802940159,0,0
"Pre-consumer processes","PP","Coastal and ocean water (MP)",5.78566070154011e-05,0.000304133844196509,1193.76720209982,248.476802940159,0.000863202374632064,0.00453758127306913
"Pre-consumer processes","PS","Soil",0,0,280.544771828391,68.4149161612475,0,0
"Pre-consumer processes","PS","Soil (MP)",0.0116391520528441,0.0105229567181821,280.544771828391,68.4149161612475,0.173652486880959,0.156999203649589
"Pre-consumer processes","PS","Fresh water",0,0,280.544771828391,68.4149161612475,0,0
"Pre-consumer processes","PS","Fresh water (MP)",5.29967290638392e-05,3.26785355670962e-05,280.544771828391,68.4149161612475,0.000790694524541692,0.000487553469796575
"Pre-consumer processes","PS","Subsurface soil (MP)",0,0,280.544771828391,68.4149161612475,0,0
"Pre-consumer processes","PS","Coastal and ocean water",0,0,280.544771828391,68.4149161612475,0,0
"Pre-consumer processes","PS","Coastal and ocean water (MP)",4.14951339236826e-07,2.15623968250182e-06,280.544771828391,68.4149161612475,6.19094343521796e-06,3.21704176969104e-05
"Pre-consumer processes","EPS","Soil",0,0,277.151389175772,97.2402653524274,0,0
"Pre-consumer processes","EPS","Soil (MP)",0.0125714999727018,0.0102203104599584,277.151389175772,97.2402653524274,0.187562824522953,0.15248381669123
"Pre-consumer processes","EPS","Fresh water",0,0,277.151389175772,97.2402653524274,0,0
"Pre-consumer processes","EPS","Fresh water (MP)",9.84908230674752e-05,4.58754457940645e-05,277.151389175772,97.2402653524274,0.00146945209435942,0.000684447218555345
"Pre-consumer processes","EPS","Subsurface soil (MP)",0,0,277.151389175772,97.2402653524274,0,0
"Pre-consumer processes","EPS","Coastal and ocean water",0,0,277.151389175772,97.2402653524274,0,0
"Pre-consumer processes","EPS","Coastal and ocean water (MP)",9.66513944346663e-07,5.65150804668334e-06,277.151389175772,97.2402653524274,1.44200839785326e-05,8.43187220579784e-05
"Pre-consumer processes","PVC","Soil",0,0,671.9852419649,185.041818794232,0,0
"Pre-consumer processes","PVC","Soil (MP)",0.0393314344108045,0.0239475927204549,671.9852419649,185.041818794232,0.586812627502579,0.357290549331997
"Pre-consumer processes","PVC","Fresh water",0,0,671.9852419649,185.041818794232,0,0
"Pre-consumer processes","PVC","Fresh water (MP)",0.000569155592545583,0.000270502434403081,671.9852419649,185.041818794232,0.00849162238099594,0.00403581121959567
"Pre-consumer processes","PVC","Subsurface soil (MP)",0,0,671.9852419649,185.041818794232,0,0
